Run,Time(ms),Memory(Bytes)
1,0.012,6569984
2,0.012,6934528
3,0.012,6627328
4,0.012,6746112
5,0.013,6758400
6,0.012,6713344
7,0.012,6901760
8,0.012,6889472
9,0.013,6889472
10,0.013,6897664
11,0.016,6828032
12,0.011,6619136
13,0.012,6979584
14,0.012,6639616
15,0.012,6979584
16,0.012,6922240
17,0.012,6844416
18,0.012,6995968
19,0.011,6938624
20,0.012,6922240
21,0.011,6889472
22,0.011,7032832
23,0.014,6905856
24,0.013,7028736
25,0.013,6713344
26,0.013,6348800
27,0.012,6651904
28,0.014,7012352
29,0.012,6725632
30,0.012,6991872
31,0.012,7012352
32,0.012,6709248
33,0.012,6868992
34,0.012,7028736
35,0.012,6983680
36,0.013,6713344
37,0.013,6299648
38,0.013,6742016
39,0.012,6619136
40,0.013,6643712
41,0.013,6770688
42,0.012,6713344
43,0.013,6914048
44,0.017,6721536
45,0.013,6574080
46,0.012,6344704
47,0.013,6766592
48,0.012,6709248
49,0.015,6565888
50,0.013,6385664
51,0.014,6438912
52,0.014,6455296
53,0.013,6369280
54,0.014,6991872
55,0.013,6651904
56,0.014,7610368
57,0.013,6725632
58,0.013,6443008
59,0.015,6606848
60,0.013,6631424
61,0.013,6991872
62,0.014,6885376
63,0.012,6078464
64,0.014,6926336
65,0.017,6934528
66,0.012,6574080
67,0.012,6713344
68,0.012,6623232
69,0.018,6615040
70,0.013,6848512
71,0.013,6348800
72,0.013,6635520
73,0.013,6758400
74,0.012,6627328
75,0.014,6909952
76,0.013,6926336
77,0.015,6631424
78,0.013,6619136
79,0.013,6742016
80,0.013,6889472
81,0.013,6713344
82,0.012,6651904
83,0.012,6893568
84,0.012,7028736
85,0.017,6934528
86,0.015,6455296
87,0.015,7028736
88,0.015,7036928
89,0.015,6987776
90,0.015,6725632
91,0.025,6639616
92,0.022,6987776
93,0.015,6709248
94,0.015,6844416
95,0.017,6889472
96,0.023,6909952
97,0.017,6885376
98,0.014,6742016
99,0.016,7032832
100,0.016,6889472

Statistics:
Average Time,0.014 ms
Max Time,0.025 ms
Average Memory,6.458 MB
Max Memory,7.258 MB
