Run,Time(ms),Memory(Bytes)
1,0.248,6627328
2,0.225,6766592
3,0.205,6766592
4,0.229,6991872
5,0.218,6889472
6,0.201,6348800
7,0.199,7761920
8,0.205,6991872
9,0.214,6651904
10,0.214,6991872
11,0.199,6770688
12,0.200,6565888
13,0.207,6844416
14,0.209,6656000
15,0.216,6901760
16,0.205,7012352
17,0.206,6901760
18,0.198,6561792
19,0.227,6897664
20,0.204,7028736
21,0.202,6615040
22,0.204,6926336
23,0.270,7028736
24,0.199,6631424
25,0.200,6758400
26,0.200,6991872
27,0.213,7028736
28,0.199,6660096
29,0.197,6717440
30,0.198,6643712
31,0.482,6668288
32,0.200,6361088
33,0.226,6651904
34,0.339,6569984
35,0.202,6758400
36,0.200,6619136
37,0.207,6619136
38,0.199,6471680
39,0.208,6725632
40,0.204,6901760
41,0.198,7041024
42,0.198,7032832
43,0.247,6742016
44,0.197,6991872
45,0.197,6631424
46,0.198,6914048
47,0.201,6922240
48,0.197,6770688
49,0.211,6361088
50,0.212,6615040
51,0.209,6656000
52,0.251,6623232
53,0.208,6901760
54,0.246,6766592
55,0.208,6905856
56,0.229,6692864
57,0.262,6742016
58,0.202,6987776
59,0.207,6897664
60,0.197,6766592
61,0.197,6709248
62,0.197,6926336
63,0.230,6840320
64,0.198,6623232
65,0.199,6619136
66,0.201,6987776
67,0.202,6569984
68,0.201,6656000
69,0.199,6574080
70,0.219,6574080
71,0.198,6762496
72,0.203,6668288
73,0.204,6893568
74,0.198,6909952
75,0.215,6893568
76,0.246,6742016
77,0.220,6664192
78,0.199,6717440
79,0.196,6758400
80,0.199,7016448
81,0.201,6725632
82,0.220,6840320
83,0.200,6979584
84,0.207,6619136
85,0.197,6623232
86,0.207,6746112
87,0.198,6651904
88,0.202,6656000
89,0.198,6934528
90,0.234,6623232
91,0.224,6987776
92,0.240,6840320
93,0.205,7028736
94,0.197,6909952
95,0.202,6901760
96,0.205,6713344
97,0.201,6922240
98,0.199,6766592
99,0.202,7028736
100,0.211,7036928

Statistics:
Average Time,0.213 ms
Max Time,0.482 ms
Average Memory,6.474 MB
Max Memory,7.402 MB
