Run,Time(ms),Memory(Bytes)
1,954.687,9392128
2,953.044,9383936
3,819.257,9605120
4,825.802,9404416
5,822.329,9498624
6,825.401,9515008
7,819.219,9547776
8,816.710,9494528
9,949.628,9490432
10,945.720,9498624
11,945.775,9404416
12,956.389,9498624
13,818.002,9416704
14,820.717,9392128
15,820.641,9605120
16,818.609,9392128
17,820.201,9404416
18,824.853,9404416
19,948.725,9392128
20,945.000,9502720
21,945.960,9510912
22,947.412,9416704
23,946.815,9392128
24,943.338,9404416
25,940.790,9490432
26,949.665,9605120
27,818.902,9420800
28,946.119,9392128
29,953.243,9388032
30,943.337,9609216
31,942.739,9416704
32,941.961,9392128
33,942.802,9404416
34,939.334,9510912
35,942.948,9547776
36,943.429,9404416
37,943.268,9392128
38,944.270,9596928
39,951.357,9396224
40,831.604,9510912
41,817.824,9551872
42,819.322,9420800
43,818.806,9515008
44,942.308,9416704
45,941.840,9404416
46,941.082,9498624
47,940.177,9547776
48,812.590,9392128
49,813.908,9392128
50,813.458,9392128
51,819.694,9478144
52,937.527,9547776
53,946.160,9420800
54,940.683,9404416
55,941.567,9392128
56,942.622,9404416
57,948.865,9420800
58,941.610,9367552
59,941.033,9502720
60,949.950,9596928
61,948.632,9388032
62,820.523,9502720
63,819.430,9486336
64,816.684,9416704
65,817.853,9527296
66,821.025,9523200
67,970.137,9420800
68,945.767,9478144
69,951.125,9383936
70,946.595,9515008
71,821.054,9515008
72,816.948,9605120
73,819.764,9596928
74,815.619,9392128
75,821.174,9596928
76,821.747,9515008
77,814.604,9420800
78,946.405,9523200
79,942.219,9510912
80,950.662,9383936
81,948.563,9494528
82,941.842,9392128
83,819.320,9523200
84,820.389,9383936
85,822.180,9596928
86,819.054,9478144
87,820.247,9510912
88,818.670,9510912
89,816.497,9498624
90,822.718,9605120
91,949.186,9383936
92,944.433,9420800
93,956.724,9494528
94,942.605,9498624
95,821.749,9605120
96,821.754,9420800
97,825.675,9404416
98,823.712,9404416
99,822.533,9383936
100,945.895,9605120

Statistics:
Average Time,888.127 ms
Max Time,970.137 ms
Average Memory,9.030 MB
Max Memory,9.164 MB
