Run,Time(ms),Memory(Bytes)
1,26.273,8261632
2,26.455,8192000
3,26.198,8192000
4,152.182,8232960
5,26.451,8290304
6,26.868,8200192
7,26.602,8343552
8,26.248,8273920
9,151.685,8261632
10,26.183,8347648
11,26.675,8265728
12,26.128,8261632
13,26.464,8200192
14,151.396,8237056
15,26.638,8359936
16,26.383,8232960
17,26.614,8294400
18,26.435,8187904
19,150.944,8368128
20,26.541,8237056
21,26.539,8376320
22,26.509,8343552
23,26.573,8200192
24,151.288,8347648
25,26.291,8261632
26,26.720,8253440
27,26.538,8192000
28,26.303,8376320
29,150.893,8245248
30,26.428,8273920
31,26.359,8359936
32,26.634,8368128
33,26.638,8273920
34,152.420,8273920
35,26.708,8200192
36,26.331,8257536
37,26.416,8323072
38,26.591,8187904
39,150.884,8261632
40,26.458,8175616
41,26.263,8261632
42,26.232,8364032
43,26.513,8245248
44,150.841,8237056
45,26.477,8294400
46,27.039,8380416
47,26.336,8232960
48,26.214,8368128
49,149.857,8372224
50,26.570,8175616
51,26.288,8257536
52,26.222,8278016
53,26.229,8368128
54,151.321,8228864
55,26.557,8175616
56,26.440,8368128
57,26.234,8261632
58,26.328,8273920
59,151.012,8347648
60,26.374,8318976
61,26.189,8257536
62,150.467,8269824
63,26.763,8273920
64,26.659,8347648
65,26.780,8273920
66,26.433,8200192
67,151.023,8265728
68,26.221,8257536
69,26.710,8376320
70,26.495,8359936
71,26.359,8278016
72,151.923,8261632
73,26.287,8347648
74,26.391,8343552
75,151.289,8323072
76,26.285,8187904
77,151.643,8273920
78,26.341,8175616
79,26.316,8200192
80,151.064,8323072
81,26.764,8204288
82,150.735,8290304
83,26.318,8241152
84,26.610,8364032
85,26.522,8241152
86,27.148,8220672
87,151.221,8343552
88,26.207,8359936
89,26.318,8273920
90,26.523,8245248
91,26.696,8175616
92,150.010,8187904
93,26.329,8368128
94,26.380,8261632
95,26.924,8372224
96,26.358,8364032
97,151.350,8232960
98,26.392,8359936
99,26.389,8232960
100,26.054,8261632

Statistics:
Average Time,53.891 ms
Max Time,152.420 ms
Average Memory,7.895 MB
Max Memory,7.992 MB
