Run,Time(ms),Memory(Bytes)
1,668.042,15675392
2,543.580,15663104
3,544.878,15474688
4,544.171,15556608
5,665.355,15523840
6,667.015,15560704
7,541.515,15474688
8,541.520,15536128
9,539.518,15646720
10,666.516,15540224
11,541.511,15663104
12,544.163,15572992
13,544.692,15642624
14,544.610,15667200
15,712.184,15540224
16,542.964,15675392
17,543.398,15663104
18,668.786,15499264
19,668.268,15572992
20,668.003,15646720
21,542.803,15474688
22,540.506,15572992
23,541.970,15626240
24,671.227,15659008
25,670.608,15474688
26,667.879,15622144
27,542.911,15536128
28,544.900,15536128
29,545.146,15622144
30,669.478,15675392
31,669.167,15675392
32,543.501,15622144
33,542.336,15626240
34,545.215,15589376
35,671.238,15491072
36,672.468,15650816
37,543.725,15474688
38,543.540,15572992
39,544.631,15593472
40,670.333,15593472
41,669.983,15532032
42,543.300,15622144
43,543.987,15663104
44,543.925,15659008
45,543.034,15474688
46,667.493,15491072
47,542.360,15568896
48,542.456,15577088
49,545.258,15646720
50,545.532,15499264
51,669.764,15671296
52,670.381,15667200
53,670.717,15503360
54,542.333,15491072
55,548.054,15532032
56,547.400,15650816
57,544.179,15519744
58,543.540,15577088
59,542.069,15593472
60,667.464,15626240
61,667.558,15474688
62,545.792,15564800
63,542.247,15589376
64,540.297,15659008
65,667.951,15478784
66,540.537,15515648
67,544.468,15577088
68,543.767,15536128
69,546.154,15491072
70,543.697,15474688
71,669.170,15646720
72,668.759,15650816
73,544.552,15593472
74,543.880,15577088
75,543.267,15556608
76,670.281,15650816
77,670.423,15486976
78,544.429,15663104
79,545.033,15646720
80,547.723,15646720
81,544.127,15646720
82,668.648,15495168
83,668.752,15474688
84,670.675,15675392
85,545.610,15486976
86,543.911,15499264
87,542.597,15622144
88,543.718,15532032
89,670.306,15593472
90,669.420,15626240
91,543.798,15671296
92,542.023,15544320
93,544.644,15478784
94,543.699,15462400
95,669.101,15667200
96,671.117,15622144
97,544.103,15532032
98,667.869,15556608
99,549.096,15491072
100,542.440,15626240

Statistics:
Average Time,589.331 ms
Max Time,712.184 ms
Average Memory,14.857 MB
Max Memory,14.949 MB
