Run,Time(ms),Memory(Bytes)
1,0.244,6995968
2,0.232,6672384
3,0.231,6631424
4,0.233,6922240
5,0.230,6647808
6,0.233,7004160
7,0.233,6926336
8,0.230,6569984
9,0.232,6905856
10,0.238,6660096
11,0.249,6778880
12,0.234,6926336
13,0.234,6938624
14,0.239,6586368
15,0.232,7049216
16,0.231,6578176
17,0.231,6868992
18,0.231,7012352
19,0.235,6656000
20,0.238,6643712
21,0.233,6950912
22,0.232,6578176
23,0.232,6901760
24,0.232,6410240
25,0.242,6787072
26,0.258,6914048
27,0.232,6938624
28,0.240,7053312
29,0.239,6787072
30,0.243,6782976
31,0.234,6660096
32,0.273,6787072
33,0.232,6631424
34,0.241,6774784
35,0.234,6774784
36,0.238,7032832
37,0.242,6631424
38,0.237,6860800
39,0.230,6590464
40,0.235,6586368
41,0.230,6737920
42,0.232,7032832
43,0.232,6950912
44,0.233,6356992
45,0.232,6782976
46,0.233,6725632
47,0.276,6631424
48,0.232,6762496
49,0.240,6586368
50,0.230,6684672
51,0.269,6590464
52,0.233,6905856
53,0.231,6762496
54,0.241,6774784
55,0.241,6631424
56,0.231,6647808
57,0.231,7000064
58,0.232,6848512
59,0.230,6955008
60,0.231,7000064
61,0.231,6627328
62,0.244,6492160
63,0.241,6787072
64,0.252,6959104
65,0.231,6729728
66,0.233,6492160
67,0.232,6643712
68,0.234,6643712
69,0.232,6742016
70,0.232,6631424
71,0.234,6914048
72,0.230,6455296
73,0.250,6758400
74,0.239,6193152
75,0.234,6856704
76,0.271,6914048
77,0.234,6901760
78,0.231,6938624
79,0.230,6901760
80,0.239,6729728
81,0.287,6955008
82,0.232,6631424
83,0.232,6684672
84,0.259,6955008
85,0.232,6656000
86,0.313,6672384
87,0.241,6365184
88,0.235,6729728
89,0.234,6635520
90,0.245,6578176
91,0.237,6656000
92,0.238,7000064
93,0.232,6488064
94,0.236,6737920
95,0.233,6938624
96,0.271,6598656
97,0.231,6643712
98,0.233,6955008
99,0.232,6995968
100,0.233,6938624

Statistics:
Average Time,0.238 ms
Max Time,0.313 ms
Average Memory,6.446 MB
Max Memory,6.727 MB
