Run,Time(ms),Memory(Bytes)
1,1228.820,15585280
2,1220.470,15572992
3,1226.420,15568896
4,1107.100,15478784
5,1231.020,15667200
6,1235.880,15679488
7,1230.230,15675392
8,1232.960,15675392
9,1229.920,15667200
10,1224.700,15589376
11,1227.580,15577088
12,1249.720,15585280
13,1237.920,15486976
14,1241.450,15593472
15,1241.400,15499264
16,1242.510,15499264
17,1100.370,15486976
18,1230.880,15454208
19,1258.790,15589376
20,1234.600,15572992
21,1233.760,15503360
22,1232.740,15482880
23,1230.230,15572992
24,1228.420,15626240
25,1232.990,15482880
26,1107.570,15675392
27,1234.570,15585280
28,1242.570,15568896
29,1103.610,15499264
30,1227.690,15486976
31,1233.980,15462400
32,1110.020,15486976
33,1241.940,15679488
34,1113.820,15499264
35,1234.840,15474688
36,1230.760,15486976
37,1228.670,15622144
38,1236.230,15478784
39,1233.490,15470592
40,1109.170,15589376
41,1238.360,15581184
42,1238.850,15675392
43,1243.730,15503360
44,1248.350,15499264
45,1244.370,15572992
46,1234.790,15478784
47,1236.000,15474688
48,1236.450,15470592
49,1237.910,15482880
50,1236.050,15671296
51,1242.120,15593472
52,1242.050,15601664
53,1243.420,15572992
54,1231.940,15589376
55,1239.420,15478784
56,1244.590,15474688
57,1231.910,15503360
58,1241.690,15585280
59,1238.150,15478784
60,1233.720,15667200
61,1239.290,15568896
62,1239.150,15478784
63,1248.950,15581184
64,1233.650,15622144
65,1238.740,15568896
66,1108.560,15491072
67,1230.010,15679488
68,1229.970,15671296
69,1230.210,15470592
70,1233.390,15478784
71,1242.160,15577088
72,1234.480,15572992
73,1232.930,15474688
74,1237.320,15478784
75,1100.690,15474688
76,1228.770,15626240
77,1231.570,15474688
78,1100.210,15491072
79,1225.790,15626240
80,1225.900,15478784
81,1228.640,15503360
82,1230.620,15564800
83,1230.360,15589376
84,1396.530,15503360
85,1236.100,15491072
86,1232.180,15581184
87,1099.850,15474688
88,1231.570,15568896
89,1235.460,15478784
90,1231.810,15593472
91,1237.610,15593472
92,1246.600,15474688
93,1246.500,15556608
94,1246.730,15675392
95,1233.090,15474688
96,1233.780,15560704
97,1110.380,15482880
98,1237.050,15597568
99,1237.630,15482880
100,1234.440,15425536

Statistics:
Average Time,1221.724 ms
Max Time,1396.530 ms
Average Memory,14.827 MB
Max Memory,14.953 MB
