Run,Time(ms),Memory(Bytes)
1,0.184,6459392
2,0.182,6684672
3,0.176,6578176
4,0.178,7008256
5,0.246,6684672
6,0.176,6647808
7,0.175,6733824
8,0.192,6901760
9,0.179,7053312
10,0.176,6672384
11,0.178,6955008
12,0.177,6955008
13,0.182,7032832
14,0.177,6991872
15,0.177,6926336
16,0.223,6848512
17,0.177,6905856
18,0.180,6848512
19,0.175,7032832
20,0.187,6778880
21,0.182,6660096
22,0.177,6733824
23,0.176,6950912
24,0.177,6594560
25,0.184,6737920
26,0.178,6905856
27,0.175,6643712
28,0.182,6914048
29,0.176,6860800
30,0.175,6582272
31,0.175,6627328
32,0.175,6901760
33,0.176,6926336
34,0.175,6950912
35,0.176,6627328
36,0.181,6950912
37,0.182,6918144
38,0.176,6930432
39,0.176,7000064
40,0.176,6672384
41,0.177,6762496
42,0.176,6725632
43,0.175,6901760
44,0.176,6762496
45,0.177,6918144
46,0.222,6561792
47,0.181,6995968
48,0.180,6942720
49,0.184,6733824
50,0.179,6635520
51,0.205,7000064
52,0.177,6905856
53,0.175,6672384
54,0.181,6742016
55,0.177,6627328
56,0.177,6672384
57,0.188,6680576
58,0.182,6938624
59,0.176,6918144
60,0.179,6918144
61,0.178,6914048
62,0.177,6942720
63,0.175,6918144
64,0.214,6926336
65,0.178,6729728
66,0.177,6774784
67,0.175,6627328
68,0.175,7000064
69,0.187,6516736
70,0.259,6742016
71,0.175,6660096
72,0.183,7045120
73,0.179,6950912
74,0.178,6467584
75,0.185,6668288
76,0.176,7057408
77,0.188,6918144
78,0.177,7008256
79,0.176,6995968
80,0.175,6737920
81,0.178,6955008
82,0.197,6553600
83,0.176,6668288
84,0.177,6656000
85,0.176,6897664
86,0.183,7028736
87,0.173,7008256
88,0.178,6643712
89,0.181,6922240
90,108.506,6942720
91,0.177,6926336
92,0.185,6643712
93,0.177,6643712
94,0.178,6586368
95,0.179,6385664
96,0.212,6918144
97,0.183,7774208
98,0.179,6926336
99,0.177,7028736
100,0.177,6942720

Statistics:
Average Time,1.265 ms
Max Time,108.506 ms
Average Memory,6.508 MB
Max Memory,7.414 MB
