Run,Time(ms),Memory(Bytes)
1,0.103,6922240
2,0.104,6901760
3,0.103,6950912
4,0.105,6631424
5,0.103,7032832
6,0.102,6955008
7,0.104,6955008
8,0.102,6938624
9,0.103,6918144
10,0.110,6823936
11,0.103,6955008
12,0.103,6942720
13,0.104,6647808
14,0.103,7053312
15,0.109,6664192
16,0.109,6901760
17,0.106,7000064
18,0.103,7012352
19,0.103,6905856
20,0.102,6918144
21,0.105,6901760
22,0.108,7004160
23,0.103,6930432
24,0.104,7004160
25,0.105,6660096
26,0.104,6680576
27,0.102,6856704
28,0.103,7028736
29,0.104,6918144
30,0.103,7049216
31,0.113,6881280
32,0.105,6938624
33,0.104,7049216
34,0.110,6938624
35,0.103,6926336
36,0.105,6938624
37,0.103,6914048
38,0.106,6402048
39,0.108,7000064
40,0.103,6930432
41,0.104,6909952
42,0.106,6647808
43,0.103,6950912
44,0.103,6938624
45,0.109,7000064
46,0.103,6942720
47,0.106,6643712
48,0.105,6914048
49,0.106,7057408
50,0.103,7045120
51,0.104,6942720
52,0.109,6955008
53,0.110,6860800
54,0.104,6848512
55,0.103,7004160
56,0.104,7004160
57,0.103,6930432
58,0.113,6860800
59,0.104,7012352
60,0.103,6115328
61,0.104,6860800
62,0.105,6930432
63,0.111,7045120
64,0.107,6905856
65,0.109,6647808
66,0.140,6955008
67,0.103,7032832
68,0.103,7049216
69,0.105,6942720
70,0.104,7028736
71,0.104,6918144
72,0.104,6897664
73,0.102,6852608
74,0.104,7028736
75,0.103,7053312
76,0.108,6774784
77,0.103,6660096
78,0.104,7008256
79,0.112,6635520
80,0.103,6402048
81,0.106,6139904
82,0.104,6647808
83,0.109,6774784
84,0.103,6782976
85,0.105,6463488
86,0.105,7028736
87,0.104,6320128
88,0.127,6385664
89,0.103,6774784
90,0.103,6643712
91,0.104,6684672
92,0.104,7053312
93,0.104,6758400
94,0.103,6635520
95,0.109,6680576
96,0.105,6590464
97,0.108,6680576
98,0.103,6684672
99,0.111,6631424
100,0.104,7004160

Statistics:
Average Time,0.106 ms
Max Time,0.140 ms
Average Memory,6.529 MB
Max Memory,6.730 MB
