Run,Time(ms),Memory(Bytes)
1,725.247,7012352
2,724.096,6926336
3,597.160,6856704
4,723.936,6926336
5,725.643,6938624
6,600.326,6860800
7,722.902,7008256
8,722.750,6918144
9,727.092,7708672
10,725.648,7008256
11,724.673,7000064
12,725.306,6938624
13,724.297,6942720
14,727.723,6938624
15,762.650,7049216
16,726.972,6926336
17,597.167,6918144
18,726.738,6950912
19,723.373,6856704
20,727.304,6938624
21,598.616,6995968
22,724.603,7708672
23,722.954,6979584
24,601.414,6926336
25,728.737,6995968
26,723.238,6901760
27,598.032,6852608
28,726.824,6938624
29,719.357,6914048
30,723.623,7000064
31,730.876,6852608
32,725.123,7057408
33,728.251,6901760
34,597.028,6905856
35,723.326,6926336
36,722.201,7008256
37,725.826,6934528
38,725.388,6938624
39,722.871,6950912
40,724.021,7053312
41,722.334,6995968
42,724.376,6848512
43,721.589,6942720
44,722.988,6852608
45,596.799,6905856
46,725.142,7008256
47,721.742,6918144
48,723.676,6918144
49,597.868,6856704
50,725.709,7012352
51,724.206,6938624
52,726.433,6848512
53,726.852,6860800
54,722.229,6938624
55,724.178,6897664
56,600.238,6852608
57,723.831,6897664
58,727.486,6942720
59,724.990,6914048
60,602.105,6848512
61,597.913,6848512
62,723.949,6955008
63,724.647,6860800
64,725.588,7045120
65,1002.090,7057408
66,1048.870,6995968
67,849.527,7057408
68,827.603,6860800
69,826.812,6955008
70,931.002,6914048
71,739.438,6914048
72,722.650,7049216
73,724.461,7032832
74,724.670,6930432
75,598.314,6885376
76,722.465,6930432
77,725.680,6901760
78,723.859,7004160
79,727.740,6938624
80,724.322,6901760
81,723.544,7049216
82,604.270,6897664
83,726.903,6995968
84,725.094,6950912
85,595.321,6918144
86,728.590,7028736
87,723.697,6942720
88,724.071,6856704
89,599.135,6852608
90,725.778,6914048
91,723.629,6856704
92,731.479,7057408
93,732.353,7008256
94,721.956,7053312
95,728.546,6930432
96,724.346,7057408
97,726.140,6893568
98,597.848,7000064
99,725.962,6942720
100,725.498,6926336

Statistics:
Average Time,715.438 ms
Max Time,1048.870 ms
Average Memory,6.635 MB
Max Memory,7.352 MB
