Run,Time(ms),Memory(Bytes)
1,11.925,7000064
2,14.604,6914048
3,11.809,6905856
4,11.670,7053312
5,11.657,6914048
6,11.682,6848512
7,11.853,6914048
8,11.925,6950912
9,11.745,7028736
10,11.737,6995968
11,11.768,6914048
12,16.466,7008256
13,11.976,7028736
14,136.858,7032832
15,11.809,6914048
16,11.710,6950912
17,11.713,6914048
18,12.109,6995968
19,11.768,6856704
20,11.960,6926336
21,11.712,7012352
22,11.721,7061504
23,11.662,7049216
24,11.828,7004160
25,11.744,6918144
26,11.703,7049216
27,11.670,6995968
28,11.781,6995968
29,11.709,7004160
30,11.893,6864896
31,12.086,6914048
32,11.645,6950912
33,11.765,6860800
34,11.791,7770112
35,11.725,6914048
36,11.770,6995968
37,11.717,6995968
38,11.688,7012352
39,11.664,7053312
40,12.100,6897664
41,11.644,7028736
42,11.713,6848512
43,11.764,6914048
44,12.097,7000064
45,137.498,6942720
46,11.707,7008256
47,136.121,7057408
48,11.619,7045120
49,136.130,6901760
50,11.750,6848512
51,11.736,6856704
52,11.634,6950912
53,11.628,7004160
54,11.669,6926336
55,11.787,7049216
56,11.755,6942720
57,11.725,7049216
58,11.686,7032832
59,11.712,6852608
60,12.278,6938624
61,11.750,6901760
62,11.687,6914048
63,11.657,6926336
64,11.896,6938624
65,12.322,6914048
66,11.832,7008256
67,11.719,7004160
68,11.640,6901760
69,11.743,6938624
70,11.757,6995968
71,11.979,7000064
72,11.655,7000064
73,11.732,7012352
74,11.608,6905856
75,12.041,7000064
76,11.697,7008256
77,11.664,7057408
78,138.051,7028736
79,11.626,7045120
80,135.501,6881280
81,12.095,6950912
82,135.581,6918144
83,11.768,6914048
84,136.751,6848512
85,12.254,6868992
86,136.411,6914048
87,11.905,6955008
88,136.510,7049216
89,11.719,7000064
90,136.447,6901760
91,11.770,6926336
92,136.190,6938624
93,11.764,6918144
94,11.708,7057408
95,12.240,6918144
96,11.791,6930432
97,12.052,7000064
98,11.830,7012352
99,11.706,7045120
100,11.774,7004160

Statistics:
Average Time,26.836 ms
Max Time,138.051 ms
Average Memory,6.647 MB
Max Memory,7.410 MB
