Time(ms),Memory(Bytes)
3.394,10080256.0
3.268,10670080.0
3.354,10350592.0
3.802,10436608.0
3.392,10661888.0
3.262,10801152.0
3.388,10625024.0
3.284,10362880.0
3.382,10694656.0
4.233,10350592.0
3.368,10153984.0
3.277,11317248.0
3.746,11083776.0
3.578,10362880.0
3.437,10530816.0
3.382,10702848.0
3.263,10809344.0
3.338,10813440.0
3.245,10727424.0
3.303,10510336.0
3.209,10895360.0
3.184,10891264.0
3.283,10780672.0
3.312,11055104.0
3.707,11264000.0
3.533,10723328.0
3.586,10891264.0
3.254,10514432.0
3.342,10756096.0
3.413,10891264.0
3.204,10960896.0
3.332,10608640.0
3.336,10543104.0
3.183,11051008.0
3.347,10665984.0
3.229,10760192.0
3.244,10608640.0
3.292,10633216.0
3.275,10727424.0
3.247,10633216.0
3.286,10694656.0
3.208,11075584.0
3.220,10883072.0
3.265,10944512.0
3.280,10940416.0
3.775,10924032.0
3.305,10428416.0
3.553,10350592.0
3.332,10141696.0
3.235,10706944.0
3.345,10186752.0
3.242,10694656.0
3.295,10620928.0
3.242,10776576.0
3.338,10670080.0
3.392,10129408.0
3.505,10981376.0
3.265,10690560.0
3.409,10801152.0
4.078,11223040.0
3.331,10694656.0
3.337,10940416.0
3.298,10240000.0
3.338,10780672.0
3.249,10485760.0
3.555,10489856.0
3.508,10170368.0
3.564,11231232.0
3.317,10260480.0
3.850,10530816.0
3.585,10510336.0
3.588,10342400.0
3.384,10338304.0
3.251,10575872.0
3.398,11317248.0
3.340,10084352.0
3.480,11333632.0
3.318,10452992.0
3.624,10883072.0
3.474,10096640.0
3.325,10526720.0
3.345,10235904.0
3.469,10702848.0
3.310,10674176.0
3.256,10784768.0
3.243,10784768.0
3.244,10604544.0
3.233,10780672.0
3.233,10809344.0
3.270,10780672.0
3.249,10665984.0
3.357,10342400.0
3.341,10436608.0
3.374,10674176.0
3.682,10137600.0
3.281,11317248.0
3.299,10694656.0
3.375,10424320.0
3.372,10166272.0
3.304,10805248.0
