Time(ms),Memory(Bytes)
232.294,11194368.0
229.451,11161600.0
238.115,11325440.0
231.306,11161600.0
236.589,11321344.0
236.433,11235328.0
225.475,11354112.0
229.265,11202560.0
230.459,11333632.0
225.989,11190272.0
238.188,11304960.0
226.164,11268096.0
231.066,11251712.0
237.047,11341824.0
231.436,11206656.0
229.974,11341824.0
232.042,11214848.0
230.800,11235328.0
229.424,11333632.0
236.883,11169792.0
232.434,11251712.0
228.863,11206656.0
231.397,11337728.0
235.494,11313152.0
230.494,11153408.0
236.077,11235328.0
233.760,11210752.0
229.682,11173888.0
235.992,11243520.0
236.957,11247616.0
235.110,11214848.0
241.978,11153408.0
235.273,11325440.0
235.214,11161600.0
238.992,11321344.0
234.589,11149312.0
245.831,11161600.0
234.611,11214848.0
242.934,11239424.0
236.541,11333632.0
232.520,11333632.0
236.471,11300864.0
244.337,11247616.0
233.820,11194368.0
232.567,11300864.0
239.001,11300864.0
231.775,11333632.0
231.345,11239424.0
251.574,11231232.0
240.731,11239424.0
241.132,11165696.0
239.899,11149312.0
241.768,11264000.0
245.925,11755520.0
246.436,11321344.0
240.148,11268096.0
235.286,11325440.0
228.249,11190272.0
231.741,11210752.0
231.370,11177984.0
234.318,11235328.0
238.818,11235328.0
241.035,11313152.0
242.049,11218944.0
233.406,11173888.0
233.080,11317248.0
231.832,11296768.0
235.863,11149312.0
235.687,11243520.0
228.876,11218944.0
228.749,11243520.0
227.035,11341824.0
227.051,11182080.0
225.695,11259904.0
229.067,11214848.0
226.202,11325440.0
226.283,11317248.0
227.351,11350016.0
229.620,11177984.0
227.651,11255808.0
227.906,11251712.0
228.012,11264000.0
231.583,11325440.0
232.929,11218944.0
231.081,11177984.0
233.763,11145216.0
234.766,11243520.0
242.195,11161600.0
232.446,11300864.0
235.006,11341824.0
232.372,11300864.0
228.078,11345920.0
230.390,11321344.0
228.445,11247616.0
229.991,11350016.0
229.331,11264000.0
229.983,11214848.0
227.916,11206656.0
229.564,11333632.0
227.472,11264000.0
