Time(ms),Memory(Bytes)
27.177,11231232.0
27.188,11177984.0
26.980,11153408.0
26.930,11341824.0
27.798,11149312.0
27.240,11153408.0
27.248,11350016.0
26.931,11268096.0
27.145,11165696.0
26.948,11264000.0
27.236,11145216.0
27.805,11247616.0
150.866,11161600.0
27.017,11247616.0
152.461,11247616.0
27.017,11259904.0
151.606,11272192.0
27.320,11149312.0
151.000,11268096.0
26.979,11276288.0
150.645,11145216.0
26.929,11141120.0
152.694,11272192.0
27.482,11145216.0
26.894,11202560.0
27.052,11145216.0
27.041,11300864.0
27.086,11259904.0
27.416,11190272.0
27.365,11161600.0
27.089,11296768.0
27.468,11251712.0
27.703,11161600.0
27.340,11272192.0
27.096,11259904.0
27.108,11276288.0
27.025,11345920.0
27.159,11202560.0
26.936,11247616.0
27.149,11259904.0
27.045,11157504.0
27.140,11259904.0
27.170,11243520.0
150.702,11296768.0
26.989,11153408.0
152.854,11268096.0
29.798,11272192.0
151.306,11341824.0
27.068,11259904.0
153.174,11264000.0
27.429,11169792.0
150.789,11354112.0
27.067,11300864.0
152.323,11264000.0
27.189,11157504.0
150.897,11149312.0
27.079,11255808.0
26.962,11149312.0
27.571,11145216.0
27.151,11341824.0
27.036,11276288.0
27.076,11116544.0
27.264,11145216.0
27.115,11235328.0
27.256,11128832.0
27.279,11345920.0
27.257,11173888.0
26.882,11272192.0
27.134,11145216.0
27.202,11157504.0
27.320,11300864.0
27.370,11341824.0
27.171,11345920.0
27.214,11341824.0
27.196,11173888.0
27.176,11157504.0
27.220,11345920.0
27.127,11264000.0
27.373,11255808.0
26.982,11341824.0
27.108,11354112.0
27.377,11145216.0
150.757,11177984.0
27.190,11231232.0
152.874,11272192.0
26.958,11751424.0
150.598,11272192.0
27.582,11251712.0
153.238,11153408.0
27.799,11264000.0
151.118,11145216.0
27.655,11276288.0
150.315,11235328.0
27.049,11247616.0
151.532,11149312.0
26.943,11268096.0
151.999,11300864.0
27.090,11149312.0
26.971,11149312.0
27.144,11157504.0
