Time(ms),Memory(Bytes)
579.112,11157504.0
580.105,11149312.0
578.745,11259904.0
581.069,11161600.0
700.243,11247616.0
706.282,11259904.0
701.776,11268096.0
706.489,11145216.0
708.971,11177984.0
707.327,11145216.0
710.873,11243520.0
587.873,11251712.0
710.348,11276288.0
709.086,11247616.0
707.782,11264000.0
701.919,11247616.0
575.528,11300864.0
578.094,11108352.0
578.936,11345920.0
705.272,11272192.0
702.854,11165696.0
710.364,11153408.0
709.122,11268096.0
709.425,11231232.0
707.753,11161600.0
581.605,11243520.0
574.684,11247616.0
591.692,11264000.0
703.695,11341824.0
713.180,11296768.0
581.266,11194368.0
582.875,11259904.0
1234.390,11296768.0
1223.580,11300864.0
970.609,11350016.0
1002.220,11264000.0
1138.160,11145216.0
980.575,11153408.0
713.385,11145216.0
712.588,11177984.0
715.268,11149312.0
589.191,11149312.0
586.379,11255808.0
708.828,11227136.0
706.908,11243520.0
712.004,11173888.0
717.347,11173888.0
586.434,11137024.0
720.290,11247616.0
716.471,11358208.0
718.491,11247616.0
728.223,11149312.0
592.519,11149312.0
718.239,11165696.0
721.570,11153408.0
717.061,11177984.0
588.211,11161600.0
594.612,11157504.0
714.067,11259904.0
716.897,11145216.0
722.838,11173888.0
594.737,11145216.0
591.438,11173888.0
721.080,11300864.0
720.074,11341824.0
722.576,11247616.0
592.073,11145216.0
717.320,11153408.0
715.563,11689984.0
719.795,11231232.0
715.203,11149312.0
718.105,11149312.0
720.391,11177984.0
720.569,11268096.0
591.697,11243520.0
716.362,11165696.0
716.032,11173888.0
712.296,11149312.0
715.046,11153408.0
589.541,11247616.0
714.548,11247616.0
709.118,11259904.0
710.108,11173888.0
709.574,11354112.0
707.481,11177984.0
583.821,11259904.0
578.502,11141120.0
579.525,11296768.0
709.792,11345920.0
713.447,11300864.0
580.198,11128832.0
584.014,11247616.0
712.619,11264000.0
712.295,11300864.0
713.747,11255808.0
713.719,11194368.0
585.039,11345920.0
714.350,11276288.0
710.784,11268096.0
712.188,11239424.0
