Time(ms),Memory(Bytes)
3.218,10964992.0
3.203,11051008.0
3.197,11206656.0
3.190,10977280.0
3.221,10997760.0
3.213,10878976.0
3.227,11026432.0
3.162,11051008.0
3.162,11218944.0
3.127,10907648.0
3.198,11321344.0
3.181,11231232.0
3.229,10780672.0
3.229,11063296.0
3.221,10948608.0
3.226,11051008.0
3.190,11026432.0
3.269,10944512.0
3.186,11051008.0
3.220,10948608.0
3.178,10940416.0
3.206,10981376.0
3.210,11149312.0
3.208,10973184.0
3.191,11079680.0
3.316,10960896.0
3.246,10883072.0
3.174,11034624.0
3.209,11051008.0
3.225,10891264.0
3.172,10973184.0
3.168,11214848.0
3.160,11235328.0
3.147,11051008.0
3.155,11333632.0
3.219,11055104.0
3.179,11264000.0
3.205,10993664.0
125.769,11173888.0
3.175,11075584.0
3.204,11063296.0
3.152,11063296.0
3.174,11350016.0
3.155,11300864.0
3.225,10977280.0
3.385,11075584.0
3.211,11071488.0
3.194,10993664.0
3.295,10981376.0
3.183,10903552.0
3.195,11051008.0
3.239,10960896.0
3.230,10612736.0
3.191,10940416.0
3.185,11083776.0
3.175,11214848.0
3.189,10895360.0
3.158,11190272.0
3.197,10903552.0
3.156,11300864.0
3.193,10969088.0
3.215,10936320.0
3.249,11030528.0
3.271,11026432.0
3.300,10424320.0
3.178,10706944.0
3.256,10969088.0
3.208,11055104.0
3.189,10874880.0
3.204,10964992.0
3.360,10891264.0
3.193,10977280.0
3.294,10969088.0
3.211,10969088.0
3.238,10936320.0
3.220,10973184.0
3.188,11026432.0
3.238,10915840.0
3.198,10760192.0
3.160,11075584.0
3.271,11026432.0
3.179,10993664.0
3.183,11206656.0
3.132,10936320.0
3.224,10903552.0
3.234,10936320.0
3.174,11251712.0
3.231,11083776.0
3.215,10977280.0
3.143,11235328.0
3.201,11067392.0
3.161,10948608.0
3.203,10977280.0
3.158,11153408.0
3.215,11083776.0
3.313,11030528.0
3.248,11079680.0
3.226,10883072.0
3.123,11177984.0
3.382,9732096.0
