Time(ms),Memory(Bytes)
759.377,11210752.0
758.178,11333632.0
762.512,11350016.0
764.389,11321344.0
764.445,11350016.0
758.303,11243520.0
756.765,11345920.0
756.796,11296768.0
764.920,11337728.0
771.600,11337728.0
770.275,11321344.0
890.983,11218944.0
772.506,11247616.0
757.910,11210752.0
758.340,11321344.0
755.896,11243520.0
759.845,11218944.0
757.348,11239424.0
759.095,11161600.0
757.363,11141120.0
749.828,11341824.0
760.311,11264000.0
769.016,11325440.0
773.061,11296768.0
768.240,11214848.0
761.456,11243520.0
760.476,11157504.0
771.720,11350016.0
763.148,11247616.0
761.379,11268096.0
757.637,11239424.0
764.063,11210752.0
765.415,11206656.0
767.456,11337728.0
893.669,11218944.0
765.011,11313152.0
761.804,11337728.0
765.213,11149312.0
756.546,11333632.0
889.802,11321344.0
763.851,11325440.0
774.785,11296768.0
902.697,11268096.0
902.673,11194368.0
764.968,11223040.0
765.574,11268096.0
761.786,11206656.0
758.029,11341824.0
764.929,11337728.0
771.042,11243520.0
761.153,11243520.0
764.485,11210752.0
763.418,11235328.0
886.258,11337728.0
758.555,11341824.0
757.128,11210752.0
756.754,11214848.0
770.564,11317248.0
887.937,11251712.0
763.680,11206656.0
765.020,11218944.0
895.912,11300864.0
764.894,11149312.0
765.945,11268096.0
762.842,11325440.0
778.349,11153408.0
760.653,11341824.0
893.363,11202560.0
761.876,11296768.0
765.294,11694080.0
764.251,11161600.0
765.418,11247616.0
763.614,11231232.0
761.431,11247616.0
761.298,11247616.0
768.406,11296768.0
767.395,11350016.0
758.605,11247616.0
880.894,11300864.0
761.304,11300864.0
761.901,11210752.0
762.405,11268096.0
762.528,11247616.0
759.900,11235328.0
773.913,11243520.0
767.207,11231232.0
784.450,11173888.0
772.014,11243520.0
893.320,11190272.0
763.961,11231232.0
766.772,11309056.0
893.361,11214848.0
769.947,11350016.0
772.539,11296768.0
767.451,11251712.0
775.551,11202560.0
770.852,11247616.0
768.177,11218944.0
758.159,11247616.0
761.962,11194368.0
