Time(ms),Memory(Bytes)
22.169,11177984.0
22.041,11317248.0
22.321,11177984.0
22.314,11321344.0
22.196,11243520.0
21.968,11317248.0
146.386,11345920.0
22.385,11194368.0
146.727,11243520.0
22.344,11321344.0
22.272,11247616.0
22.192,11149312.0
22.136,11153408.0
146.887,11337728.0
21.910,11296768.0
147.011,11214848.0
22.021,11247616.0
22.435,11177984.0
21.987,11218944.0
22.252,11296768.0
22.105,11210752.0
22.123,11337728.0
146.785,11214848.0
22.056,11239424.0
22.081,11317248.0
22.175,11231232.0
22.070,11153408.0
22.124,11206656.0
22.056,11214848.0
147.053,11321344.0
22.137,11177984.0
22.235,11235328.0
22.638,11235328.0
22.185,11235328.0
22.082,11206656.0
22.939,11296768.0
148.179,11337728.0
22.078,11157504.0
22.115,11341824.0
22.661,11251712.0
22.139,11231232.0
22.133,11173888.0
22.722,11325440.0
148.093,11333632.0
22.070,11198464.0
22.014,11161600.0
21.968,11206656.0
22.122,11235328.0
22.148,11341824.0
22.174,11317248.0
146.589,11321344.0
22.464,11247616.0
144.751,11206656.0
22.084,11177984.0
22.114,11317248.0
22.033,11239424.0
22.282,11243520.0
22.439,11325440.0
22.003,11321344.0
146.722,11300864.0
22.020,11173888.0
21.951,11337728.0
21.960,11354112.0
22.337,11247616.0
22.361,11264000.0
22.257,11206656.0
147.023,11214848.0
22.369,11235328.0
22.669,11268096.0
22.218,11317248.0
22.318,11321344.0
22.001,11358208.0
22.167,11345920.0
147.603,11247616.0
22.129,11239424.0
22.292,11247616.0
22.317,11341824.0
22.242,11235328.0
22.183,11243520.0
22.094,11214848.0
146.620,11317248.0
21.979,11325440.0
146.564,11202560.0
22.358,11235328.0
22.577,11337728.0
22.193,11268096.0
21.984,11317248.0
148.038,11173888.0
22.063,11325440.0
150.406,11333632.0
22.136,11161600.0
22.191,11321344.0
22.156,11214848.0
22.035,11264000.0
147.655,11104256.0
22.001,11239424.0
146.910,11149312.0
22.095,11296768.0
22.533,11296768.0
22.540,11247616.0
