Time(ms),Memory(Bytes)
479.101,11218944.0
355.348,11165696.0
479.893,11243520.0
479.093,11177984.0
481.928,11153408.0
479.443,11206656.0
480.590,11345920.0
358.184,11218944.0
481.047,11321344.0
481.847,11239424.0
480.138,11161600.0
480.934,11300864.0
481.636,11173888.0
478.885,11210752.0
478.069,11161600.0
478.413,11247616.0
478.928,11321344.0
478.713,11206656.0
479.142,11210752.0
478.611,11235328.0
355.518,11341824.0
479.161,11165696.0
481.357,11173888.0
354.895,11345920.0
481.462,11149312.0
480.389,11173888.0
356.342,11325440.0
478.095,11218944.0
479.132,11321344.0
479.882,11186176.0
481.604,11345920.0
480.195,11239424.0
478.596,11341824.0
479.713,11317248.0
480.214,11235328.0
482.734,11354112.0
479.540,11165696.0
482.896,11264000.0
355.708,11227136.0
481.375,11177984.0
480.505,11173888.0
354.749,11206656.0
481.731,11177984.0
480.085,11206656.0
354.834,11350016.0
482.686,11165696.0
479.012,11153408.0
481.707,11149312.0
481.515,11149312.0
481.397,11272192.0
355.269,11214848.0
480.861,11214848.0
479.936,11337728.0
479.845,11218944.0
480.227,11247616.0
480.192,11350016.0
482.351,11251712.0
485.680,11288576.0
478.736,11345920.0
480.249,11350016.0
476.695,11165696.0
481.073,11317248.0
480.900,11149312.0
480.099,11264000.0
478.974,11218944.0
480.163,11247616.0
354.877,11243520.0
480.423,11304960.0
483.195,11239424.0
355.415,11296768.0
481.557,11243520.0
482.401,11300864.0
352.999,11206656.0
479.969,11214848.0
480.002,11325440.0
479.557,11300864.0
480.909,11210752.0
480.281,11210752.0
478.194,11177984.0
354.050,11321344.0
478.443,11235328.0
476.778,11264000.0
478.022,11239424.0
481.105,11169792.0
480.327,11137024.0
480.474,11300864.0
481.197,11337728.0
481.220,11296768.0
482.244,11186176.0
355.151,11214848.0
481.584,11206656.0
480.268,11235328.0
481.507,11116544.0
357.153,11149312.0
479.189,11247616.0
481.141,11243520.0
355.115,11268096.0
479.095,11177984.0
480.293,11300864.0
354.870,11268096.0
