Time(ms),Memory(Bytes)
0.177,6733824.0
0.146,7057408.0
0.163,6938624.0
0.143,6852608.0
0.156,6737920.0
0.141,6991872.0
0.151,6742016.0
0.140,7000064.0
0.167,6909952.0
0.153,6762496.0
0.143,6864896.0
0.152,6791168.0
0.178,6651904.0
0.159,6766592.0
0.153,6631424.0
0.138,6635520.0
0.140,6615040.0
3.299,11223040.0
0.136,6582272.0
0.156,7000064.0
0.161,6905856.0
0.136,6901760.0
0.147,6905856.0
0.170,7012352.0
0.149,6905856.0
0.206,6897664.0
0.151,6647808.0
0.153,6934528.0
0.172,6676480.0
0.143,6676480.0
0.152,6737920.0
3.545,10821632.0
0.132,6918144.0
0.166,6901760.0
0.162,6688768.0
0.158,6635520.0
0.147,6782976.0
0.167,6922240.0
0.160,6856704.0
0.146,6688768.0
0.164,6963200.0
0.149,7000064.0
0.165,7000064.0
0.146,6864896.0
0.148,6647808.0
0.152,7012352.0
0.143,6574080.0
0.161,6463488.0
0.137,6631424.0
0.142,6647808.0
0.161,6578176.0
0.158,6791168.0
0.153,6918144.0
0.145,6942720.0
0.160,6918144.0
0.148,6676480.0
0.151,6737920.0
0.161,6930432.0
0.158,6942720.0
0.173,6918144.0
0.184,7057408.0
0.154,6905856.0
3.234,11194368.0
0.168,6746112.0
0.135,7000064.0
0.151,6381568.0
0.146,6791168.0
0.132,6922240.0
0.142,6995968.0
0.161,7000064.0
3.309,11071488.0
0.173,6672384.0
0.161,6766592.0
0.155,6746112.0
3.277,10842112.0
0.148,6766592.0
0.161,6639616.0
0.156,6905856.0
0.135,6762496.0
0.171,6762496.0
0.148,6619136.0
0.167,6660096.0
0.182,6582272.0
113.779,10665984.0
0.144,6979584.0
0.135,6733824.0
3.292,11149312.0
0.150,7036928.0
0.148,6930432.0
0.162,6930432.0
0.168,6647808.0
0.144,6647808.0
0.165,6766592.0
0.157,6729728.0
0.150,7012352.0
0.139,6946816.0
0.161,6733824.0
0.132,6635520.0
0.155,6594560.0
0.141,6557696.0
