Time(ms),Memory(Bytes)
16.799,11452416.0
13.170,7598080.0
16.618,11354112.0
13.595,7688192.0
16.913,11304960.0
17.052,11476992.0
17.167,11448320.0
18.112,11304960.0
140.158,11399168.0
18.848,11309056.0
16.447,11456512.0
16.524,11366400.0
17.754,11366400.0
138.225,7692288.0
12.966,7524352.0
16.811,11366400.0
17.732,11378688.0
13.132,7708672.0
141.759,11325440.0
16.710,11489280.0
13.497,7610368.0
13.845,7561216.0
17.763,11354112.0
140.500,11337728.0
16.557,11321344.0
16.000,11448320.0
16.780,11468800.0
16.575,11481088.0
140.188,11423744.0
17.362,11481088.0
16.778,11456512.0
16.472,11448320.0
17.176,11493376.0
136.432,7680000.0
17.425,11452416.0
17.668,11452416.0
18.268,11337728.0
17.147,11472896.0
137.237,7704576.0
16.766,11378688.0
17.569,11354112.0
16.552,11337728.0
17.295,11448320.0
16.142,11882496.0
16.368,11341824.0
16.832,11489280.0
16.385,11370496.0
13.719,7585792.0
13.564,7688192.0
12.580,7667712.0
16.677,11358208.0
13.628,7593984.0
16.556,11399168.0
141.109,11452416.0
13.160,7553024.0
16.776,11419648.0
17.478,11423744.0
12.863,7553024.0
17.479,11452416.0
13.615,7569408.0
17.031,11358208.0
17.185,11476992.0
16.541,11485184.0
18.390,11935744.0
17.579,11345920.0
141.014,11472896.0
17.551,11337728.0
13.155,7671808.0
13.403,7708672.0
13.034,7520256.0
142.506,11341824.0
16.962,11472896.0
13.535,7581696.0
13.930,7684096.0
17.277,11493376.0
140.959,11472896.0
13.024,7507968.0
16.703,11485184.0
16.360,11366400.0
17.692,11350016.0
17.498,11419648.0
16.192,7593984.0
13.045,7688192.0
16.382,11358208.0
13.120,7692288.0
141.810,11345920.0
18.566,11333632.0
12.926,7663616.0
16.315,11378688.0
17.144,11333632.0
140.909,11350016.0
13.671,7667712.0
16.096,11304960.0
12.605,7663616.0
16.930,11448320.0
17.047,11472896.0
13.468,7598080.0
13.216,7708672.0
141.371,11378688.0
13.257,7565312.0
