Time(ms),Memory(Bytes)
286.745,11612160.0
279.663,11730944.0
410.973,11640832.0
294.114,11612160.0
288.370,11747328.0
282.563,11612160.0
411.750,11579392.0
412.962,11575296.0
288.686,11603968.0
286.880,11579392.0
278.571,11747328.0
281.048,11649024.0
408.786,11636736.0
285.784,11612160.0
285.725,11718656.0
284.609,11722752.0
409.312,11608064.0
279.927,11628544.0
282.394,11579392.0
412.932,11743232.0
275.033,11722752.0
296.669,11694080.0
284.170,11653120.0
274.218,7561216.0
412.334,11620352.0
281.740,11694080.0
285.475,11747328.0
283.627,11612160.0
404.018,11636736.0
289.102,11722752.0
283.475,11616256.0
295.616,11575296.0
411.099,11616256.0
282.448,11763712.0
409.746,11669504.0
408.391,11751424.0
282.008,11616256.0
283.782,11636736.0
406.673,11579392.0
557.068,11747328.0
497.771,11689984.0
488.980,11694080.0
468.382,11743232.0
347.136,11747328.0
489.130,11739136.0
331.866,11751424.0
464.138,11743232.0
403.341,11763712.0
290.598,11718656.0
288.484,11644928.0
282.564,11665408.0
406.020,11726848.0
284.166,11640832.0
283.453,11743232.0
307.838,11665408.0
282.910,11620352.0
283.028,11612160.0
281.617,11624448.0
291.393,11612160.0
287.373,11649024.0
433.055,11636736.0
408.839,11624448.0
293.789,11649024.0
291.352,11616256.0
290.803,11653120.0
280.067,11608064.0
422.566,11665408.0
411.021,11579392.0
287.153,11722752.0
283.683,11620352.0
333.218,11689984.0
473.318,12091392.0
466.406,11616256.0
484.422,11743232.0
493.197,11755520.0
498.049,11755520.0
437.968,11608064.0
298.770,11669504.0
291.594,11640832.0
289.205,11649024.0
410.056,11571200.0
289.467,11575296.0
280.952,11730944.0
282.714,11612160.0
409.032,11763712.0
275.166,7671808.0
413.936,11763712.0
287.574,11718656.0
282.764,11743232.0
287.567,11616256.0
284.348,11665408.0
410.024,11722752.0
287.716,11743232.0
279.586,11603968.0
286.673,11653120.0
418.687,11608064.0
289.127,11694080.0
282.694,11616256.0
290.999,11755520.0
294.497,11739136.0
