Time(ms),Memory(Bytes)
23.127,11378688.0
22.524,11485184.0
22.616,11341824.0
22.384,11472896.0
22.589,11354112.0
18.980,7524352.0
147.939,11448320.0
22.136,11358208.0
22.485,11452416.0
22.308,11423744.0
22.201,11345920.0
22.417,11350016.0
22.100,11452416.0
150.760,11341824.0
22.648,11272192.0
22.179,11456512.0
22.194,11337728.0
23.392,11309056.0
147.061,11350016.0
22.236,11337728.0
146.679,11481088.0
19.190,7585792.0
22.490,11341824.0
22.102,11468800.0
21.873,11452416.0
147.502,11489280.0
22.360,11481088.0
146.720,11476992.0
19.283,7610368.0
22.762,11481088.0
19.080,7667712.0
22.834,11456512.0
146.849,11476992.0
22.349,11341824.0
147.169,11366400.0
22.370,11399168.0
22.412,11489280.0
19.369,7696384.0
22.063,11350016.0
147.077,11452416.0
22.384,11350016.0
146.906,10637312.0
22.280,11374592.0
19.168,7581696.0
21.966,11419648.0
21.919,11108352.0
146.918,11378688.0
22.197,11341824.0
22.548,11370496.0
22.465,11448320.0
18.856,7704576.0
18.965,7651328.0
22.770,11399168.0
147.215,11452416.0
22.137,11354112.0
19.204,7634944.0
22.785,11423744.0
22.899,11345920.0
22.395,11833344.0
22.236,11423744.0
147.052,11395072.0
21.617,11464704.0
21.843,11345920.0
22.444,11419648.0
22.152,11370496.0
18.584,7704576.0
22.256,11472896.0
147.410,11468800.0
22.910,11468800.0
22.449,11382784.0
22.044,11395072.0
22.556,11370496.0
22.758,11378688.0
23.667,11337728.0
143.855,7585792.0
23.405,11493376.0
19.394,7589888.0
21.948,11304960.0
22.194,11489280.0
22.278,11370496.0
22.872,11350016.0
144.887,7561216.0
18.998,7696384.0
22.031,11341824.0
22.231,11395072.0
22.582,11399168.0
22.516,11448320.0
22.476,11345920.0
153.355,11354112.0
22.493,11464704.0
22.351,11382784.0
19.211,7589888.0
19.207,7634944.0
147.528,11419648.0
22.580,11452416.0
22.126,11460608.0
18.983,7561216.0
23.134,11493376.0
155.570,11423744.0
23.647,11304960.0
