Time(ms),Memory(Bytes)
483.611,11739136.0
477.855,11735040.0
484.520,11599872.0
482.705,11735040.0
354.597,11747328.0
478.937,11739136.0
480.331,11751424.0
478.333,11743232.0
478.856,11612160.0
477.527,11722752.0
479.561,11689984.0
486.295,11739136.0
484.339,11608064.0
352.421,11743232.0
483.397,11612160.0
479.989,11579392.0
482.831,11735040.0
478.264,11747328.0
476.759,11718656.0
479.999,11739136.0
484.619,11522048.0
357.097,11608064.0
476.530,11575296.0
479.804,11747328.0
479.338,11735040.0
476.876,11616256.0
352.043,11747328.0
479.362,11759616.0
477.330,11722752.0
353.990,11591680.0
477.650,11649024.0
477.872,11735040.0
479.354,11612160.0
481.528,11644928.0
358.096,11722752.0
480.619,11755520.0
486.265,11714560.0
479.981,11644928.0
479.981,11763712.0
476.176,11689984.0
480.167,11694080.0
479.734,11689984.0
481.589,11640832.0
354.157,11694080.0
478.866,11653120.0
478.568,11612160.0
354.090,11722752.0
479.556,11644928.0
481.004,11665408.0
483.539,11624448.0
485.069,11763712.0
351.145,11636736.0
478.840,11603968.0
479.222,11763712.0
351.528,11575296.0
484.813,11747328.0
485.691,11722752.0
480.951,11628544.0
478.426,11694080.0
481.153,11755520.0
482.145,11628544.0
477.829,11747328.0
480.537,11755520.0
478.667,11608064.0
482.212,11612160.0
481.154,11743232.0
479.779,11763712.0
485.964,11575296.0
477.054,11722752.0
477.988,11616256.0
479.523,11620352.0
477.939,11722752.0
479.302,11649024.0
354.726,11608064.0
483.477,11743232.0
478.008,11669504.0
354.157,11755520.0
480.659,11669504.0
478.899,11608064.0
353.371,11689984.0
480.651,11616256.0
482.990,11689984.0
353.391,11743232.0
479.699,11747328.0
484.122,11640832.0
478.920,11612160.0
477.059,11649024.0
481.545,11689984.0
479.007,11616256.0
478.621,11624448.0
481.245,11763712.0
480.918,11644928.0
353.736,11722752.0
477.495,11612160.0
484.611,11726848.0
476.072,11636736.0
476.086,11689984.0
352.025,11747328.0
480.066,11722752.0
485.758,11722752.0
