Time(ms),Memory(Bytes)
9.560,7692288.0
9.217,7610368.0
8.645,6930432.0
135.099,7561216.0
15.663,11452416.0
134.824,7585792.0
10.552,7593984.0
10.085,7540736.0
10.850,7684096.0
9.296,7557120.0
10.712,7561216.0
10.119,7036928.0
9.752,7593984.0
9.102,7692288.0
10.184,7663616.0
11.216,7639040.0
9.543,7680000.0
13.962,11395072.0
9.859,7700480.0
10.166,7557120.0
8.898,7061504.0
9.532,7634944.0
134.446,7680000.0
10.573,7520256.0
133.630,7610368.0
8.382,6918144.0
14.852,11395072.0
10.439,7561216.0
9.597,7692288.0
9.758,7667712.0
8.783,6856704.0
10.492,7663616.0
10.295,7696384.0
9.587,7663616.0
9.795,7573504.0
10.153,7667712.0
10.120,7585792.0
15.900,11325440.0
14.367,11370496.0
8.807,6860800.0
10.139,7671808.0
9.842,7639040.0
16.879,11452416.0
9.407,7012352.0
10.505,7692288.0
133.244,7536640.0
9.908,7565312.0
10.847,7663616.0
10.845,7561216.0
9.878,7520256.0
13.914,11309056.0
10.342,7692288.0
9.210,7864320.0
9.943,7634944.0
14.727,11419648.0
15.841,11419648.0
9.056,7557120.0
9.679,7708672.0
13.806,11472896.0
15.007,11304960.0
13.858,11419648.0
10.660,7553024.0
14.664,11476992.0
9.062,7004160.0
9.742,7663616.0
9.584,7634944.0
10.236,7639040.0
9.040,7004160.0
10.027,6889472.0
14.041,11378688.0
138.321,11309056.0
9.581,7634944.0
133.605,7008256.0
9.077,6909952.0
9.456,7667712.0
10.060,7708672.0
8.775,7036928.0
9.941,7684096.0
9.687,7049216.0
9.512,7639040.0
9.669,7675904.0
10.233,7565312.0
11.828,7700480.0
11.617,7610368.0
16.660,11350016.0
9.045,7634944.0
10.034,7585792.0
9.748,7593984.0
10.079,7565312.0
13.912,11935744.0
9.598,7708672.0
140.401,11489280.0
9.807,6942720.0
133.630,7561216.0
9.658,7696384.0
9.845,7561216.0
10.503,7704576.0
9.363,7036928.0
9.120,7671808.0
9.945,7704576.0
