Time(ms),Memory(Bytes)
245.435,7667712.0
240.346,7598080.0
256.643,11665408.0
241.076,7692288.0
244.243,7696384.0
247.629,7704576.0
243.377,11612160.0
252.531,11735040.0
230.201,7581696.0
109.948,7561216.0
239.905,7663616.0
257.485,11726848.0
235.263,7680000.0
261.438,11669504.0
103.633,7524352.0
225.148,7696384.0
240.765,7581696.0
237.728,7593984.0
236.850,7593984.0
247.582,7700480.0
280.063,7651328.0
243.566,7639040.0
244.580,11575296.0
253.621,11624448.0
252.282,11726848.0
243.128,7553024.0
455.069,7589888.0
435.635,7692288.0
300.515,11763712.0
443.337,11649024.0
432.903,7704576.0
295.129,7663616.0
244.560,7667712.0
242.237,11649024.0
253.226,11649024.0
234.797,7585792.0
428.269,11759616.0
253.902,11616256.0
238.011,7598080.0
240.687,11759616.0
248.659,7561216.0
243.774,11575296.0
241.650,7553024.0
243.249,7487488.0
234.509,7684096.0
244.984,7585792.0
244.681,7561216.0
256.467,11694080.0
250.009,7553024.0
231.896,7581696.0
244.947,7585792.0
232.158,7553024.0
120.999,7704576.0
224.783,7667712.0
249.321,7684096.0
255.314,11636736.0
248.620,11624448.0
255.779,11669504.0
252.649,11644928.0
246.346,7573504.0
235.785,7561216.0
241.696,7561216.0
240.937,11739136.0
100.534,7561216.0
234.578,7712768.0
246.002,7680000.0
232.057,7589888.0
242.234,7663616.0
381.521,11616256.0
240.029,7589888.0
233.256,7663616.0
244.358,7569408.0
380.156,11624448.0
249.196,11735040.0
240.219,7663616.0
248.889,7598080.0
244.303,7614464.0
236.285,7610368.0
232.402,7663616.0
244.916,7520256.0
241.237,11612160.0
244.429,11735040.0
240.899,7598080.0
239.447,7663616.0
255.100,11751424.0
237.506,7553024.0
236.851,7520256.0
101.028,7573504.0
240.614,7581696.0
245.813,7573504.0
246.571,7614464.0
245.018,7692288.0
115.197,7692288.0
241.562,7573504.0
250.133,11718656.0
249.379,7688192.0
226.605,7634944.0
417.021,11649024.0
256.739,11739136.0
240.679,7700480.0
