Time(ms),Memory(Bytes)
0.138,7057408.0
0.140,6938624.0
0.140,6901760.0
0.140,6914048.0
0.142,7004160.0
0.223,6959104.0
0.139,6942720.0
0.140,6901760.0
0.218,6918144.0
0.140,6918144.0
0.223,7045120.0
0.138,6914048.0
0.211,6922240.0
0.146,6897664.0
0.143,6942720.0
0.143,7000064.0
0.163,7000064.0
0.202,6852608.0
0.132,6918144.0
0.163,6914048.0
0.136,6930432.0
0.138,7053312.0
0.139,7049216.0
0.136,6918144.0
0.140,6856704.0
0.213,6934528.0
0.148,6897664.0
0.140,7049216.0
0.144,6905856.0
0.138,6914048.0
0.139,7032832.0
0.221,6905856.0
0.148,6901760.0
0.234,7004160.0
0.217,6926336.0
0.141,6881280.0
0.214,6942720.0
0.222,6860800.0
0.215,6905856.0
0.141,6914048.0
0.215,6848512.0
0.141,7045120.0
0.241,6914048.0
0.138,6860800.0
0.138,6848512.0
0.158,6901760.0
0.136,6942720.0
0.211,6914048.0
0.211,7004160.0
0.214,7008256.0
0.218,7012352.0
0.232,7000064.0
0.137,6987776.0
0.206,7057408.0
0.223,6914048.0
0.214,7008256.0
0.208,6905856.0
0.138,7053312.0
0.136,6848512.0
0.135,7057408.0
0.128,6758400.0
0.129,6668288.0
0.133,6578176.0
0.134,6635520.0
0.136,6737920.0
0.129,6635520.0
0.128,6742016.0
0.130,6918144.0
0.133,6856704.0
0.203,7045120.0
0.205,6897664.0
0.130,7045120.0
0.134,6897664.0
0.144,7045120.0
0.147,7057408.0
0.155,6905856.0
0.136,6995968.0
0.135,6995968.0
0.152,6955008.0
0.163,7000064.0
0.211,6938624.0
0.127,7032832.0
0.275,6938624.0
0.185,7053312.0
0.133,6918144.0
0.258,7028736.0
0.148,6905856.0
0.214,6938624.0
0.136,7012352.0
0.134,6930432.0
0.133,6643712.0
0.130,6656000.0
0.137,6684672.0
0.137,6942720.0
0.234,6950912.0
0.261,7057408.0
0.132,6856704.0
0.132,6860800.0
0.221,6918144.0
0.133,6926336.0
