Time(ms),Memory(Bytes)
421.363,13225984.0
420.597,13168640.0
431.828,13115392.0
427.722,13156352.0
296.561,13156352.0
296.759,13156352.0
296.584,13074432.0
422.931,13189120.0
422.009,13266944.0
423.509,13266944.0
297.420,13168640.0
296.433,13156352.0
297.973,13127680.0
299.378,13086720.0
421.633,13238272.0
421.745,13242368.0
298.516,13275136.0
296.992,13225984.0
296.153,13189120.0
295.400,13156352.0
421.865,13090816.0
420.723,13225984.0
296.107,13283328.0
295.228,13246464.0
295.839,13074432.0
421.478,13070336.0
421.654,13275136.0
297.396,13172736.0
297.494,13070336.0
296.798,13148160.0
297.900,13021184.0
423.676,13230080.0
425.745,13135872.0
304.740,13127680.0
421.854,13082624.0
428.086,13225984.0
422.408,13168640.0
297.189,13115392.0
297.031,13139968.0
298.293,13193216.0
300.335,13160448.0
297.308,13103104.0
421.445,13070336.0
421.831,13131776.0
297.233,13283328.0
298.505,13189120.0
296.234,13070336.0
419.088,13066240.0
423.730,13111296.0
423.105,13254656.0
296.112,13156352.0
295.086,13082624.0
298.479,13144064.0
422.097,13127680.0
423.897,13160448.0
297.776,13225984.0
295.660,13283328.0
296.981,13127680.0
422.753,13082624.0
422.456,13246464.0
295.363,13225984.0
297.258,13266944.0
298.774,13242368.0
420.814,13254656.0
546.316,13254656.0
298.955,13135872.0
297.167,13156352.0
426.349,13099008.0
421.192,13160448.0
296.520,13271040.0
296.220,13086720.0
294.713,13230080.0
298.874,13275136.0
422.123,13127680.0
431.118,13099008.0
297.053,13164544.0
297.054,13160448.0
295.900,13176832.0
296.930,13099008.0
423.157,13254656.0
425.824,13144064.0
428.279,13189120.0
427.485,13127680.0
420.442,13189120.0
423.678,13266944.0
297.801,13193216.0
295.323,13275136.0
297.013,13262848.0
423.296,13135872.0
422.139,13275136.0
420.965,13242368.0
294.534,13094912.0
294.860,13176832.0
297.869,13225984.0
420.378,13176832.0
421.933,13168640.0
295.610,13189120.0
297.458,13168640.0
301.531,13172736.0
296.976,13246464.0
