Time(ms),Memory(Bytes)
498.026,13176832.0
499.187,13205504.0
497.464,13201408.0
498.846,13160448.0
500.262,13189120.0
499.813,13283328.0
498.222,13180928.0
500.793,13283328.0
498.670,13070336.0
499.201,13070336.0
498.922,13201408.0
501.086,13189120.0
497.864,13168640.0
498.885,13189120.0
498.530,13156352.0
498.778,13201408.0
502.286,13176832.0
660.011,13082624.0
496.974,13156352.0
497.145,13168640.0
499.727,13094912.0
372.982,13070336.0
500.602,13094912.0
499.479,13021184.0
499.119,13099008.0
502.620,13082624.0
501.090,13205504.0
498.837,13283328.0
497.856,13094912.0
498.341,13189120.0
498.544,13193216.0
500.623,13099008.0
499.633,13082624.0
498.544,13189120.0
499.153,13201408.0
499.981,13099008.0
497.507,13283328.0
496.062,13189120.0
499.046,13205504.0
496.025,13156352.0
498.980,13070336.0
497.433,13189120.0
500.123,13176832.0
500.557,13283328.0
498.274,13094912.0
498.581,13189120.0
497.910,13172736.0
498.563,13094912.0
498.382,13189120.0
501.246,13099008.0
498.257,13189120.0
497.453,13176832.0
499.536,13160448.0
497.578,13275136.0
498.802,13176832.0
499.534,13082624.0
498.522,13074432.0
498.125,13062144.0
497.480,13201408.0
495.917,13070336.0
497.409,13094912.0
495.044,13225984.0
497.339,13168640.0
498.104,13168640.0
497.532,13275136.0
496.890,13275136.0
498.058,13094912.0
497.961,13070336.0
501.381,13070336.0
500.014,13275136.0
502.906,13189120.0
554.158,13197312.0
501.345,13168640.0
497.742,13176832.0
498.921,13176832.0
499.544,13070336.0
544.057,13189120.0
834.698,13139968.0
752.789,13176832.0
755.738,13062144.0
739.561,10244096.0
757.397,13156352.0
583.229,13176832.0
548.992,13156352.0
498.395,13086720.0
501.453,13062144.0
499.977,13074432.0
498.937,13127680.0
498.667,13275136.0
498.652,13201408.0
498.240,13094912.0
498.835,13094912.0
499.839,13176832.0
498.656,13099008.0
497.147,13201408.0
496.742,13094912.0
497.668,13283328.0
496.642,13168640.0
501.173,13176832.0
498.307,13066240.0
