Time(ms),Memory(Bytes)
2.021,7008256.0
2.004,6901760.0
2.003,6905856.0
2.032,6938624.0
2.005,7000064.0
2.019,7028736.0
2.052,7045120.0
1.985,6926336.0
1.971,6938624.0
1.993,7798784.0
1.962,7671808.0
2.040,6901760.0
2.027,6856704.0
2.060,6828032.0
2.069,6848512.0
2.038,7045120.0
2.092,7053312.0
2.026,6914048.0
2.026,7012352.0
2.066,7028736.0
2.045,6938624.0
2.018,7045120.0
1.999,6942720.0
2.008,6860800.0
2.042,6836224.0
2.071,7000064.0
2.057,6914048.0
2.036,6942720.0
2.039,7012352.0
2.117,7028736.0
2.073,7008256.0
2.033,7036928.0
2.033,7057408.0
2.054,7032832.0
2.039,7000064.0
2.114,6897664.0
2.003,6914048.0
2.003,6914048.0
1.972,6938624.0
2.032,6848512.0
2.038,6938624.0
2.069,7049216.0
2.088,7032832.0
2.003,7028736.0
2.069,6914048.0
2.039,7057408.0
2.004,6950912.0
2.042,6914048.0
2.029,7028736.0
1.972,7667712.0
2.053,7000064.0
1.999,6905856.0
122.302,6905856.0
2.047,6856704.0
1.981,6893568.0
2.055,6848512.0
2.058,6914048.0
2.015,6955008.0
2.060,7000064.0
2.092,6938624.0
2.081,6901760.0
2.047,6995968.0
2.065,6918144.0
2.113,6914048.0
2.030,7049216.0
2.242,6918144.0
2.044,6942720.0
1.986,6930432.0
2.029,6938624.0
2.219,6926336.0
2.046,6901760.0
2.062,6918144.0
2.054,6942720.0
2.034,6901760.0
1.981,6930432.0
2.014,7028736.0
2.202,7000064.0
2.019,7053312.0
2.072,7008256.0
2.036,6901760.0
2.036,6926336.0
2.082,6926336.0
2.062,6905856.0
2.031,6914048.0
2.090,7008256.0
2.009,6856704.0
2.079,7004160.0
2.090,7045120.0
2.102,6856704.0
2.004,7045120.0
1.991,6860800.0
2.045,7000064.0
2.042,6914048.0
2.003,6852608.0
2.030,6852608.0
2.018,7012352.0
1.986,7000064.0
2.029,6848512.0
1.995,7045120.0
2.033,6914048.0
