Time(ms),Memory(Bytes)
2.056,7004160.0
2.102,6823936.0
2.072,6905856.0
2.149,6914048.0
2.134,7000064.0
2.152,7000064.0
2.090,6926336.0
2.119,6987776.0
2.196,6995968.0
2.203,7032832.0
2.135,6942720.0
2.158,6950912.0
2.111,6914048.0
2.267,7028736.0
2.087,6938624.0
2.111,6901760.0
2.100,6942720.0
2.330,6901760.0
2.204,6918144.0
2.118,6914048.0
2.157,7053312.0
2.120,6905856.0
2.189,7000064.0
2.079,6950912.0
2.086,6938624.0
2.382,6860800.0
2.111,7004160.0
2.150,6995968.0
2.091,7049216.0
2.106,7045120.0
2.119,7008256.0
2.078,6905856.0
2.099,7000064.0
2.133,6914048.0
2.143,6897664.0
2.221,6901760.0
2.100,7008256.0
2.071,7815168.0
2.175,6942720.0
2.124,7053312.0
2.130,6950912.0
2.113,7028736.0
2.142,7045120.0
2.100,7053312.0
2.135,6848512.0
2.130,6938624.0
2.168,6897664.0
2.078,6955008.0
2.119,7012352.0
2.135,6942720.0
2.186,6905856.0
2.103,6938624.0
2.095,6955008.0
2.138,6914048.0
2.128,7028736.0
2.084,6901760.0
2.095,6914048.0
2.099,7008256.0
2.111,7057408.0
2.104,6852608.0
120.723,6918144.0
2.107,6897664.0
2.070,6926336.0
2.090,6905856.0
2.099,6955008.0
2.138,6938624.0
2.119,7000064.0
2.129,6914048.0
2.082,6938624.0
2.184,7008256.0
2.110,6946816.0
2.124,6942720.0
2.122,6914048.0
2.129,6950912.0
2.118,6995968.0
2.121,6852608.0
2.141,7045120.0
2.120,6995968.0
2.093,6901760.0
2.075,6950912.0
2.228,7053312.0
2.151,6918144.0
2.157,7053312.0
2.123,7000064.0
2.119,7000064.0
2.134,6856704.0
2.133,6938624.0
2.138,6995968.0
2.107,7000064.0
2.106,7000064.0
2.151,6918144.0
2.116,7008256.0
2.135,6926336.0
2.149,7798784.0
2.091,7008256.0
2.146,7000064.0
2.092,7053312.0
2.131,6942720.0
2.098,6955008.0
2.090,6955008.0
