Time(ms),Memory(Bytes)
557.963,13254656.0
554.984,13266944.0
556.801,13254656.0
557.069,13254656.0
555.334,13225984.0
554.775,13176832.0
556.205,13127680.0
556.178,13254656.0
556.950,13127680.0
555.223,13266944.0
556.379,13099008.0
553.962,13283328.0
558.266,13258752.0
558.486,13266944.0
558.706,13242368.0
682.088,13287424.0
681.929,13156352.0
555.723,13254656.0
554.714,13144064.0
681.272,13242368.0
681.149,13176832.0
680.799,13283328.0
684.788,13225984.0
681.071,13246464.0
685.398,13160448.0
557.087,13156352.0
555.269,13160448.0
556.976,13135872.0
555.517,13135872.0
555.928,13172736.0
561.134,13099008.0
555.865,13115392.0
555.457,13099008.0
555.344,13283328.0
555.950,13168640.0
560.554,13189120.0
555.363,13082624.0
556.613,13135872.0
680.290,13131776.0
682.460,13242368.0
683.011,13266944.0
679.246,13266944.0
685.704,13156352.0
684.243,13090816.0
679.951,13070336.0
681.623,13099008.0
678.327,13099008.0
554.941,13242368.0
556.538,13225984.0
681.805,13176832.0
681.303,13189120.0
681.851,13275136.0
554.927,13275136.0
554.955,13127680.0
554.823,13099008.0
553.424,13082624.0
558.217,13099008.0
558.016,13115392.0
558.167,13271040.0
556.532,13225984.0
558.178,13176832.0
556.774,13225984.0
556.015,13127680.0
554.654,13176832.0
557.907,13242368.0
683.775,13160448.0
681.819,13225984.0
682.466,13176832.0
682.743,13225984.0
682.783,13225984.0
683.076,13176832.0
684.245,13254656.0
682.210,13225984.0
683.363,13275136.0
681.450,13279232.0
681.691,13037568.0
683.434,13189120.0
556.926,13156352.0
684.326,13168640.0
680.848,13258752.0
683.325,13275136.0
680.958,13070336.0
680.003,13156352.0
681.985,13266944.0
682.834,13176832.0
682.248,13086720.0
682.662,13271040.0
681.967,13254656.0
685.744,13156352.0
679.916,13156352.0
558.449,13168640.0
558.393,13279232.0
690.801,13103104.0
690.991,13250560.0
682.263,13283328.0
692.134,13139968.0
681.863,13254656.0
684.967,13086720.0
681.519,13156352.0
682.387,13070336.0
