Time(ms),Memory(Bytes)
1.259,7057408.0
1.266,6926336.0
1.283,7000064.0
1.324,6955008.0
1.305,7004160.0
1.268,6942720.0
1.250,7053312.0
1.262,7045120.0
1.279,6926336.0
1.283,7000064.0
1.271,6848512.0
1.254,6914048.0
1.325,6938624.0
1.247,7045120.0
1.286,6914048.0
1.417,7000064.0
1.227,6823936.0
1.226,7057408.0
1.266,6938624.0
1.290,6856704.0
1.271,6914048.0
1.270,7032832.0
1.316,6901760.0
1.250,7000064.0
1.224,6860800.0
1.227,6950912.0
1.233,6955008.0
1.281,7012352.0
1.221,6918144.0
1.226,6955008.0
1.263,7053312.0
1.271,7045120.0
1.322,7032832.0
1.284,6897664.0
1.269,6901760.0
1.236,6914048.0
1.263,6938624.0
1.248,6926336.0
1.272,6901760.0
1.253,7761920.0
1.280,6942720.0
1.228,7008256.0
1.260,7000064.0
1.232,7045120.0
1.257,6897664.0
1.275,6905856.0
1.281,6955008.0
1.267,6860800.0
1.299,6918144.0
1.263,7790592.0
1.272,6914048.0
1.262,6950912.0
1.235,6914048.0
1.277,6995968.0
1.249,6955008.0
1.276,7028736.0
1.318,6955008.0
1.248,6918144.0
1.262,7012352.0
1.264,6852608.0
1.262,7045120.0
1.260,6848512.0
122.985,6897664.0
1.222,6950912.0
1.254,7000064.0
1.247,6995968.0
1.225,7049216.0
1.260,6856704.0
1.316,7032832.0
1.318,6856704.0
1.350,6918144.0
1.254,6938624.0
1.246,7000064.0
122.594,7004160.0
1.268,6852608.0
1.256,6950912.0
1.231,7008256.0
1.256,7012352.0
1.246,6942720.0
1.227,6918144.0
1.259,6950912.0
1.297,7053312.0
1.268,6914048.0
1.255,6901760.0
1.285,6860800.0
1.282,7012352.0
1.297,6856704.0
1.238,6848512.0
1.282,6914048.0
1.219,7032832.0
1.240,6905856.0
1.245,6938624.0
1.249,7000064.0
1.215,6942720.0
1.410,7057408.0
1.277,7045120.0
1.239,6905856.0
1.233,7049216.0
1.276,6905856.0
1.293,6848512.0
