Time(ms),Memory(Bytes)
427.084,13189120.0
426.902,13099008.0
425.674,13193216.0
300.286,13168640.0
299.856,13275136.0
300.409,13254656.0
301.075,13283328.0
300.766,13115392.0
426.161,13283328.0
426.123,13156352.0
427.017,13099008.0
299.567,13275136.0
299.131,13070336.0
300.003,13148160.0
300.713,13254656.0
303.280,13225984.0
425.543,13135872.0
425.602,13168640.0
425.237,13156352.0
300.654,13103104.0
299.862,13275136.0
300.524,13266944.0
300.493,13131776.0
300.000,13127680.0
300.517,13254656.0
426.833,13099008.0
427.503,13189120.0
428.658,13156352.0
297.505,13266944.0
302.732,13189120.0
298.815,13275136.0
424.858,13189120.0
425.574,13225984.0
425.784,13189120.0
426.425,13160448.0
299.435,13225984.0
303.562,13160448.0
300.965,13242368.0
301.446,13082624.0
299.017,13082624.0
425.107,13127680.0
300.738,13135872.0
300.630,13127680.0
300.235,13225984.0
301.455,13115392.0
426.618,13082624.0
425.832,13279232.0
425.573,13283328.0
299.101,13119488.0
299.005,13070336.0
301.019,13086720.0
303.601,13230080.0
425.221,13086720.0
424.377,13144064.0
423.513,13242368.0
299.737,13225984.0
301.069,13283328.0
300.231,13127680.0
303.439,13189120.0
427.302,13242368.0
426.879,13148160.0
426.109,13176832.0
424.795,13160448.0
427.076,13262848.0
301.411,13160448.0
425.254,13127680.0
299.473,13287424.0
301.075,13168640.0
300.532,13070336.0
299.545,13099008.0
425.953,13160448.0
425.376,13127680.0
302.626,13156352.0
300.723,13156352.0
302.496,13135872.0
427.315,13168640.0
428.153,13246464.0
425.585,13082624.0
428.407,13070336.0
300.336,13082624.0
299.775,13160448.0
301.681,13070336.0
303.577,13074432.0
303.276,13176832.0
425.723,13242368.0
427.858,13225984.0
426.075,13131776.0
425.756,13082624.0
301.627,13156352.0
463.448,13283328.0
427.797,13176832.0
427.446,13082624.0
298.897,13275136.0
303.179,13160448.0
721.385,13242368.0
714.922,13254656.0
658.076,10182656.0
531.687,13275136.0
532.680,13246464.0
496.599,13135872.0
