Time(ms),Memory(Bytes)
0.315,6631424.0
0.293,6672384.0
0.277,6889472.0
0.261,6733824.0
0.304,6647808.0
0.268,6737920.0
0.295,6897664.0
0.314,7036928.0
0.278,7061504.0
0.290,7000064.0
0.307,6844416.0
0.445,6909952.0
0.303,6635520.0
0.307,6922240.0
0.284,6942720.0
0.365,6922240.0
0.285,6651904.0
0.312,6729728.0
0.293,6582272.0
0.284,6672384.0
0.350,6918144.0
0.290,6852608.0
0.279,6684672.0
0.274,6905856.0
0.269,7004160.0
0.303,7061504.0
0.286,7049216.0
0.317,6905856.0
0.277,6918144.0
0.309,7053312.0
0.294,6574080.0
0.282,7004160.0
0.300,6676480.0
0.300,7004160.0
0.327,6955008.0
0.295,6656000.0
0.292,6934528.0
0.303,6733824.0
0.289,7036928.0
0.285,6746112.0
0.292,7053312.0
0.284,6676480.0
0.267,6651904.0
0.279,6742016.0
0.295,7057408.0
0.283,6688768.0
0.302,6737920.0
0.281,7012352.0
0.279,6852608.0
0.281,6922240.0
0.331,6582272.0
0.301,7000064.0
0.320,7032832.0
0.272,6787072.0
0.315,6639616.0
0.292,7000064.0
0.318,6787072.0
0.275,6647808.0
0.320,7012352.0
0.286,6959104.0
0.273,6766592.0
0.307,6918144.0
0.279,6639616.0
0.304,6959104.0
0.295,6901760.0
0.282,7012352.0
0.310,7049216.0
0.307,6688768.0
0.297,6582272.0
0.315,6635520.0
0.304,6823936.0
0.329,6770688.0
0.300,7049216.0
0.281,6688768.0
0.514,6864896.0
0.298,6582272.0
0.284,6635520.0
0.278,6684672.0
0.281,6672384.0
0.273,7061504.0
0.282,7012352.0
0.297,6946816.0
0.270,6922240.0
0.306,6922240.0
0.301,6647808.0
0.304,6660096.0
0.286,6918144.0
0.299,6729728.0
0.312,6729728.0
0.340,6930432.0
0.275,7049216.0
0.307,6766592.0
0.281,7012352.0
0.343,6909952.0
0.262,6733824.0
0.271,7012352.0
0.315,7004160.0
0.292,6590464.0
0.279,6860800.0
0.296,6746112.0
