Time(ms),Memory(Bytes)
504.486,7397376.0
496.029,7573504.0
502.016,7557120.0
494.624,7450624.0
498.373,7487488.0
495.026,7524352.0
498.227,7573504.0
492.543,7438336.0
503.916,7340032.0
509.037,7544832.0
494.469,7544832.0
501.472,7438336.0
538.564,7438336.0
517.963,7438336.0
500.769,7487488.0
495.037,7385088.0
506.408,7475200.0
501.609,7491584.0
530.378,7512064.0
505.119,7487488.0
503.945,7491584.0
496.454,7458816.0
487.909,7491584.0
501.793,7516160.0
501.603,7438336.0
496.004,7524352.0
524.931,7471104.0
503.351,7397376.0
502.652,7438336.0
500.174,7446528.0
500.495,7561216.0
499.401,7520256.0
509.402,7397376.0
497.068,7467008.0
493.348,7430144.0
496.631,7520256.0
500.941,7520256.0
494.301,7569408.0
504.260,7442432.0
503.701,7467008.0
498.162,7544832.0
504.647,7438336.0
631.641,7405568.0
515.573,7385088.0
509.375,7458816.0
502.841,7442432.0
522.547,7540736.0
506.781,7516160.0
496.474,7565312.0
370.540,7446528.0
503.914,7442432.0
507.512,7434240.0
498.354,7458816.0
523.367,7450624.0
510.832,7397376.0
505.448,7520256.0
501.006,7512064.0
500.223,7544832.0
507.120,7458816.0
495.794,7434240.0
712.838,7512064.0
761.136,7491584.0
743.640,7561216.0
770.582,7516160.0
759.582,7548928.0
685.808,7569408.0
735.732,7467008.0
743.094,7516160.0
772.482,7544832.0
737.196,7417856.0
700.131,7569408.0
515.549,7430144.0
501.500,7577600.0
493.638,7512064.0
503.652,7434240.0
494.070,7467008.0
497.479,8011776.0
505.801,7471104.0
492.780,7524352.0
500.579,7565312.0
501.315,7401472.0
500.939,7430144.0
495.296,7438336.0
502.172,7491584.0
505.441,7397376.0
506.404,7557120.0
510.015,7434240.0
511.364,7487488.0
507.281,7438336.0
499.316,7471104.0
493.502,7561216.0
506.848,7434240.0
512.366,7467008.0
506.968,7974912.0
507.100,7565312.0
493.501,7491584.0
492.100,7581696.0
369.158,7516160.0
494.642,7524352.0
633.756,7471104.0
