Time(ms),Memory(Bytes)
27.435,7557120.0
27.852,7544832.0
27.558,7471104.0
27.150,7524352.0
27.585,7561216.0
27.385,7446528.0
27.713,7438336.0
27.664,7544832.0
27.656,7467008.0
26.892,7438336.0
27.912,7512064.0
27.686,7557120.0
27.448,7446528.0
27.493,7573504.0
27.940,7491584.0
27.446,7843840.0
27.408,7516160.0
27.758,7512064.0
27.395,7401472.0
151.161,7524352.0
27.236,7426048.0
152.153,7561216.0
28.015,7430144.0
152.833,7442432.0
27.729,7467008.0
151.265,7434240.0
27.576,7512064.0
152.933,7516160.0
27.949,7430144.0
151.431,7520256.0
28.275,7544832.0
152.679,7516160.0
27.200,7544832.0
152.375,7462912.0
27.398,7397376.0
152.282,7397376.0
27.793,7434240.0
152.330,7471104.0
27.440,7434240.0
151.046,7569408.0
27.696,7544832.0
27.230,7544832.0
27.717,7544832.0
28.080,7487488.0
27.569,7471104.0
27.157,7450624.0
27.863,7569408.0
27.113,7491584.0
28.079,7557120.0
27.771,7401472.0
27.705,7544832.0
27.788,7487488.0
27.929,7544832.0
27.599,7421952.0
28.224,7467008.0
27.322,7569408.0
27.476,7577600.0
28.666,7573504.0
27.916,7557120.0
26.773,7434240.0
27.448,7430144.0
27.165,7577600.0
152.256,7430144.0
27.184,7442432.0
152.350,7577600.0
27.475,7520256.0
152.199,7454720.0
27.410,7462912.0
152.167,7573504.0
27.448,7516160.0
152.103,7450624.0
28.072,7573504.0
153.193,7360512.0
26.998,7458816.0
151.633,7430144.0
27.772,7471104.0
152.160,7438336.0
27.376,7340032.0
27.789,7573504.0
27.188,7438336.0
27.875,7430144.0
28.100,7397376.0
27.614,7438336.0
27.377,7577600.0
28.096,7438336.0
27.554,7544832.0
27.687,7446528.0
27.225,7569408.0
27.721,7512064.0
28.394,7991296.0
27.425,7467008.0
27.330,7569408.0
27.673,7569408.0
27.773,7438336.0
27.420,7565312.0
28.014,7389184.0
27.677,7471104.0
27.698,7434240.0
27.418,7487488.0
27.080,7573504.0
