Time(ms),Memory(Bytes)
557.286,7434240.0
562.998,7417856.0
561.211,7446528.0
564.505,7524352.0
559.827,7467008.0
558.619,7565312.0
558.630,7430144.0
559.979,7540736.0
560.592,7565312.0
560.886,7569408.0
562.472,7557120.0
561.025,7540736.0
560.631,7417856.0
566.492,7520256.0
565.497,7438336.0
568.944,7467008.0
696.879,7434240.0
695.093,7438336.0
687.982,7516160.0
691.108,7430144.0
692.816,7524352.0
989.450,7430144.0
971.647,7434240.0
816.858,7561216.0
805.621,7565312.0
780.783,7458816.0
773.726,7516160.0
560.318,7544832.0
559.787,7401472.0
560.531,7487488.0
563.620,7475200.0
559.133,7467008.0
564.560,7389184.0
565.808,7487488.0
560.840,7573504.0
559.441,7446528.0
689.552,7434240.0
683.919,7458816.0
684.269,7401472.0
686.121,7540736.0
686.805,7577600.0
686.919,7434240.0
688.958,7434240.0
685.680,7524352.0
702.562,7430144.0
689.845,7544832.0
683.814,7462912.0
687.485,7446528.0
683.519,7467008.0
561.570,7544832.0
562.156,7557120.0
564.737,7565312.0
559.436,7450624.0
562.252,7450624.0
566.936,7540736.0
583.027,7438336.0
563.559,7544832.0
562.414,7565312.0
560.027,7417856.0
562.913,7565312.0
730.514,7573504.0
683.867,7434240.0
686.891,7430144.0
565.218,7475200.0
688.154,7487488.0
562.926,7954432.0
691.674,7553024.0
685.517,7462912.0
688.499,7458816.0
687.284,7573504.0
690.729,7540736.0
560.885,7557120.0
558.129,7344128.0
563.432,7565312.0
563.441,7438336.0
562.967,7487488.0
562.203,7548928.0
561.699,7376896.0
561.623,7458816.0
562.037,7458816.0
566.455,7573504.0
563.053,7565312.0
563.224,7569408.0
560.483,7491584.0
561.229,7475200.0
560.418,7475200.0
561.261,7446528.0
564.270,7442432.0
558.204,7540736.0
564.047,7434240.0
568.942,7467008.0
562.303,7434240.0
686.636,7557120.0
685.963,7401472.0
692.954,7520256.0
685.767,7557120.0
565.362,7520256.0
561.972,7458816.0
564.283,7512064.0
687.023,7450624.0
