Time(ms),Memory(Bytes)
2.842,7446528.0
2.927,7487488.0
2.921,7430144.0
3.002,7540736.0
2.851,7540736.0
2.864,7520256.0
2.830,7032832.0
2.989,7446528.0
2.829,6930432.0
2.868,7434240.0
2.857,7557120.0
2.888,7004160.0
2.791,7426048.0
2.866,7544832.0
2.944,7467008.0
2.839,7471104.0
2.849,7524352.0
2.875,7524352.0
2.801,6930432.0
2.859,7512064.0
2.879,7512064.0
2.854,7442432.0
2.785,7512064.0
2.845,7446528.0
2.862,7462912.0
2.901,7540736.0
2.807,7532544.0
2.992,7462912.0
2.890,7520256.0
2.848,7512064.0
2.874,7548928.0
2.794,7487488.0
2.839,7446528.0
2.810,7557120.0
2.821,7573504.0
2.865,7434240.0
2.849,7540736.0
2.945,7401472.0
2.877,7569408.0
2.878,7446528.0
2.804,7467008.0
2.820,7512064.0
2.800,7401472.0
2.946,7438336.0
2.921,7401472.0
2.836,7512064.0
2.943,7548928.0
2.878,7917568.0
2.799,7557120.0
2.883,7520256.0
2.840,7557120.0
2.809,7548928.0
2.905,6983680.0
2.887,7430144.0
2.859,7565312.0
2.829,7462912.0
2.835,7520256.0
2.990,7467008.0
2.945,6946816.0
2.800,7471104.0
2.835,7487488.0
121.174,7471104.0
2.826,7561216.0
2.862,7573504.0
2.835,7417856.0
2.862,7462912.0
2.802,7565312.0
2.801,7565312.0
2.854,7573504.0
2.916,7565312.0
2.898,7544832.0
2.871,7491584.0
2.801,7577600.0
2.829,7487488.0
2.944,7462912.0
3.179,7434240.0
2.846,6946816.0
3.002,7475200.0
2.858,6856704.0
2.772,7577600.0
2.821,7548928.0
2.866,7921664.0
3.089,7557120.0
2.795,7434240.0
2.841,7434240.0
2.803,7462912.0
2.824,7004160.0
2.889,7544832.0
2.842,7438336.0
2.850,7430144.0
2.890,7524352.0
2.854,7036928.0
2.947,7360512.0
2.826,7438336.0
2.812,7471104.0
2.868,7487488.0
2.870,7540736.0
2.834,7471104.0
2.827,7475200.0
2.834,7397376.0
