Time(ms),Memory(Bytes)
713.603,7516160.0
718.714,7512064.0
589.020,7467008.0
719.496,7544832.0
716.531,7430144.0
718.324,7471104.0
593.007,7524352.0
716.516,7446528.0
713.236,7573504.0
716.614,7397376.0
591.019,7438336.0
717.883,7438336.0
713.527,7544832.0
712.735,7475200.0
589.916,7430144.0
715.689,7577600.0
719.648,7520256.0
594.823,7544832.0
717.419,7544832.0
714.426,7462912.0
714.080,7561216.0
717.147,7438336.0
589.879,7471104.0
721.757,7450624.0
717.454,7430144.0
591.620,7397376.0
714.714,7458816.0
714.667,7557120.0
714.580,7397376.0
714.601,7413760.0
723.438,7565312.0
715.577,7397376.0
717.737,7438336.0
590.340,7540736.0
715.797,7487488.0
714.217,7569408.0
714.949,7544832.0
590.206,7442432.0
722.671,7450624.0
587.888,7475200.0
715.424,7458816.0
714.609,7565312.0
714.272,7557120.0
716.915,7557120.0
585.607,7512064.0
714.294,7434240.0
714.880,7569408.0
714.407,7467008.0
588.435,7462912.0
716.387,7524352.0
719.068,7438336.0
715.523,7475200.0
594.062,7565312.0
715.204,7995392.0
719.466,7516160.0
716.233,7569408.0
592.860,7557120.0
718.450,7434240.0
593.523,7458816.0
589.601,7516160.0
724.414,7446528.0
714.021,7565312.0
589.894,7462912.0
713.494,7401472.0
717.710,7393280.0
713.710,7491584.0
716.664,7430144.0
717.770,7520256.0
723.599,7561216.0
715.159,7467008.0
587.139,7401472.0
714.706,7340032.0
718.497,7442432.0
717.433,7475200.0
589.265,7548928.0
716.183,7471104.0
588.932,7450624.0
717.030,7458816.0
718.748,7548928.0
714.895,7401472.0
590.333,7565312.0
715.335,7573504.0
714.105,7434240.0
715.710,7471104.0
718.373,7512064.0
715.325,7557120.0
716.044,7569408.0
714.648,7442432.0
719.541,7516160.0
716.509,7548928.0
589.389,7430144.0
713.314,7524352.0
719.363,7401472.0
715.789,7467008.0
594.947,7512064.0
717.246,7462912.0
717.197,7540736.0
591.760,7544832.0
717.315,7512064.0
717.645,7458816.0
