Time(ms),Memory(Bytes)
1.894,6901760.0
1.946,7000064.0
2.405,7561216.0
2.328,7471104.0
2.124,7012352.0
2.281,7446528.0
2.300,6905856.0
2.185,7475200.0
2.433,7434240.0
1.984,6922240.0
2.144,7016448.0
2.209,7520256.0
2.093,7639040.0
2.359,7401472.0
2.251,7471104.0
2.088,7061504.0
2.269,7565312.0
2.308,7471104.0
2.207,7577600.0
2.093,6864896.0
2.294,7450624.0
2.203,6930432.0
1.949,6901760.0
2.355,7540736.0
2.297,7569408.0
2.263,7487488.0
2.443,7434240.0
1.965,7819264.0
2.482,7471104.0
2.289,7397376.0
1.945,6864896.0
2.142,7012352.0
2.451,7442432.0
2.113,6934528.0
2.124,6922240.0
1.821,6946816.0
2.153,7557120.0
2.304,6918144.0
2.541,7544832.0
2.299,7397376.0
2.146,6942720.0
2.461,7569408.0
2.358,7512064.0
2.010,7053312.0
1.916,6852608.0
2.077,7032832.0
2.248,7524352.0
2.259,7487488.0
1.982,7000064.0
2.239,6852608.0
2.203,7012352.0
2.151,7921664.0
2.133,6905856.0
2.209,6922240.0
2.047,7053312.0
2.132,7004160.0
2.254,6864896.0
2.193,7548928.0
2.237,7561216.0
2.014,6955008.0
2.155,7004160.0
2.210,7917568.0
2.418,7434240.0
2.227,6942720.0
2.053,7032832.0
2.398,7458816.0
2.608,7548928.0
2.087,7004160.0
1.969,6864896.0
2.201,6905856.0
2.164,7557120.0
2.387,7516160.0
2.158,6905856.0
2.374,7487488.0
2.160,6942720.0
2.214,7540736.0
2.472,7548928.0
2.278,7561216.0
2.210,6918144.0
2.407,7401472.0
2.350,7512064.0
2.204,6852608.0
2.272,7475200.0
2.507,7544832.0
2.127,6930432.0
2.003,6946816.0
2.153,7544832.0
2.265,7565312.0
2.242,7569408.0
121.501,7016448.0
2.214,6852608.0
2.068,7008256.0
2.453,7548928.0
2.165,6918144.0
2.295,7512064.0
2.147,6873088.0
2.151,7434240.0
2.206,7917568.0
2.405,7446528.0
122.989,6905856.0
