Time(ms),Memory(Bytes)
488.127,7446528.0
471.794,7548928.0
510.600,7557120.0
483.208,7442432.0
486.444,7524352.0
503.597,7487488.0
925.708,7458816.0
789.794,7573504.0
590.316,7434240.0
730.706,7577600.0
738.153,7471104.0
720.987,7573504.0
483.873,7475200.0
491.979,7450624.0
499.786,7401472.0
496.751,7442432.0
493.395,7569408.0
511.445,7434240.0
506.083,7557120.0
481.093,7467008.0
476.205,7471104.0
472.568,7458816.0
513.320,7471104.0
486.157,7569408.0
494.633,7557120.0
489.351,7397376.0
481.655,7438336.0
468.322,7512064.0
498.706,7454720.0
479.110,7573504.0
519.695,7458816.0
486.703,7557120.0
497.828,7438336.0
511.865,7438336.0
494.263,7475200.0
504.384,7557120.0
489.405,7430144.0
480.458,7544832.0
496.752,7553024.0
482.345,7573504.0
507.738,7446528.0
504.054,7467008.0
495.328,7397376.0
497.945,7569408.0
486.277,7573504.0
502.868,7512064.0
472.248,7577600.0
477.922,7557120.0
510.769,7434240.0
487.460,7565312.0
471.812,7430144.0
493.117,7446528.0
490.710,7561216.0
497.804,7475200.0
486.088,7434240.0
474.864,7434240.0
499.714,7434240.0
479.334,7430144.0
494.064,7573504.0
488.838,7446528.0
491.366,7442432.0
475.415,7471104.0
487.523,7540736.0
505.577,7434240.0
497.569,7577600.0
501.779,7430144.0
486.070,7573504.0
363.925,7397376.0
511.972,7430144.0
341.666,7471104.0
481.130,7487488.0
485.934,7540736.0
494.917,7446528.0
491.428,7557120.0
498.318,7565312.0
357.063,7397376.0
502.905,7512064.0
478.887,7491584.0
494.102,7430144.0
472.314,8044544.0
478.157,7520256.0
491.189,7450624.0
488.482,7401472.0
483.971,7413760.0
340.870,7573504.0
525.892,7573504.0
523.163,7438336.0
487.134,7434240.0
505.343,7577600.0
489.326,7536640.0
491.806,7544832.0
507.922,7450624.0
490.965,7553024.0
486.712,7544832.0
495.793,7516160.0
480.866,7471104.0
492.678,7536640.0
503.207,7401472.0
470.723,7442432.0
500.325,7401472.0
