Time(ms),Memory(Bytes)
0.074,6889472.0
0.114,7032832.0
0.073,6975488.0
0.078,6983680.0
0.071,6889472.0
0.071,6848512.0
0.090,6901760.0
0.078,6914048.0
0.073,6836224.0
0.074,6991872.0
0.075,6889472.0
0.086,7012352.0
0.074,6926336.0
0.075,7036928.0
0.076,6991872.0
0.071,6901760.0
0.098,6848512.0
0.081,6934528.0
0.073,7036928.0
0.086,6922240.0
0.075,6889472.0
0.090,6922240.0
0.073,6889472.0
0.087,6873088.0
0.074,6934528.0
0.075,6963200.0
0.073,6885376.0
0.092,7016448.0
0.108,6922240.0
0.075,6893568.0
0.073,6885376.0
0.075,6836224.0
0.085,6840320.0
0.106,6868992.0
0.073,6909952.0
0.077,6934528.0
0.078,7028736.0
0.081,6864896.0
0.076,6934528.0
0.073,6909952.0
0.113,6836224.0
0.074,6922240.0
0.078,7741440.0
0.072,6901760.0
0.072,6926336.0
0.072,7041024.0
0.073,6995968.0
0.081,6987776.0
0.074,6840320.0
0.083,6922240.0
0.075,6926336.0
0.073,6922240.0
0.109,6901760.0
0.074,7012352.0
0.113,6922240.0
0.073,6914048.0
0.100,6897664.0
0.073,6901760.0
0.088,6840320.0
0.074,6938624.0
0.126,7036928.0
0.104,6922240.0
0.104,7028736.0
0.073,6934528.0
0.073,6909952.0
0.074,6848512.0
0.074,6901760.0
0.113,6836224.0
0.075,6991872.0
0.083,6836224.0
0.100,6844416.0
0.073,7020544.0
0.076,6983680.0
0.083,6836224.0
0.082,6983680.0
0.083,7012352.0
0.073,6983680.0
0.077,6889472.0
0.082,6987776.0
0.073,6836224.0
0.111,6922240.0
0.100,6926336.0
0.073,7028736.0
0.071,6909952.0
0.072,7020544.0
0.113,7041024.0
0.084,6926336.0
0.074,6983680.0
0.080,6905856.0
0.073,6889472.0
0.073,6905856.0
0.073,6909952.0
0.106,6901760.0
0.115,7012352.0
0.078,6979584.0
0.117,6889472.0
0.115,6987776.0
0.083,6901760.0
0.104,7032832.0
0.073,6889472.0
