Time(ms),Memory(Bytes)
7.242,6893568.0
6.992,6889472.0
7.470,6877184.0
7.176,6938624.0
7.207,6905856.0
7.270,6909952.0
7.074,6844416.0
7.086,6848512.0
7.211,6815744.0
7.129,7036928.0
7.127,6901760.0
7.285,6909952.0
7.318,6909952.0
7.100,6844416.0
8.431,6897664.0
7.054,6897664.0
7.095,6844416.0
7.181,6922240.0
7.326,7016448.0
7.161,6914048.0
7.511,7032832.0
7.119,6926336.0
7.149,6922240.0
7.190,6938624.0
7.203,6926336.0
7.062,6983680.0
7.238,6905856.0
7.202,7036928.0
7.271,6983680.0
7.544,6889472.0
7.056,6889472.0
6.998,6983680.0
7.143,6909952.0
7.304,7016448.0
7.186,6922240.0
7.033,6991872.0
7.322,6909952.0
7.378,6889472.0
7.215,6885376.0
7.018,6922240.0
7.479,6979584.0
7.141,6909952.0
7.055,6922240.0
7.299,6934528.0
7.065,7016448.0
7.150,6905856.0
7.282,7028736.0
7.244,6897664.0
7.296,6889472.0
7.117,6905856.0
7.077,6922240.0
7.215,6889472.0
7.217,6836224.0
7.777,6922240.0
7.328,6983680.0
7.123,6914048.0
7.065,6901760.0
7.278,6881280.0
8.633,6901760.0
7.237,6885376.0
7.095,6901760.0
7.773,6901760.0
7.707,6991872.0
7.286,6901760.0
7.172,6995968.0
7.202,7000064.0
7.133,6926336.0
7.320,6840320.0
7.136,6918144.0
7.450,6987776.0
7.222,6901760.0
7.009,6889472.0
7.220,6971392.0
7.587,6889472.0
7.152,6881280.0
7.255,6848512.0
7.305,6881280.0
7.254,6901760.0
7.433,6889472.0
7.197,6889472.0
7.656,7041024.0
7.186,6926336.0
7.239,6844416.0
7.186,6991872.0
7.107,6914048.0
7.204,6922240.0
7.105,6934528.0
7.123,6983680.0
7.242,6938624.0
7.167,6885376.0
7.315,6926336.0
8.011,6909952.0
7.085,6901760.0
7.335,6905856.0
7.327,6914048.0
7.470,6897664.0
7.093,6889472.0
7.089,7016448.0
7.231,6983680.0
7.163,6848512.0
