Time(ms),Memory(Bytes)
806.147,9211904.0
812.275,9392128.0
814.919,9388032.0
814.904,9314304.0
807.674,9207808.0
815.639,9281536.0
815.544,9306112.0
808.872,9396224.0
808.702,9269248.0
813.764,9338880.0
806.154,9195520.0
806.166,9207808.0
807.348,9211904.0
972.355,9265152.0
930.612,9396224.0
932.982,9289728.0
931.575,9211904.0
810.774,9269248.0
809.931,9252864.0
812.469,9175040.0
808.572,9179136.0
812.026,9175040.0
814.609,9293824.0
936.493,9289728.0
938.901,9338880.0
935.901,9187328.0
941.386,9187328.0
936.884,9281536.0
934.552,9314304.0
935.042,9146368.0
931.225,9293824.0
934.843,9314304.0
934.743,9314304.0
934.735,9187328.0
937.881,9289728.0
930.044,9281536.0
934.750,9338880.0
942.608,9183232.0
936.966,9175040.0
963.157,9388032.0
828.575,9273344.0
821.073,9302016.0
815.107,9220096.0
815.996,9302016.0
833.774,9338880.0
931.983,9207808.0
946.540,9207808.0
945.390,9392128.0
935.775,9187328.0
811.984,9187328.0
809.744,9281536.0
812.669,9175040.0
810.435,9302016.0
980.877,9289728.0
811.831,9342976.0
817.404,9388032.0
809.653,9302016.0
807.023,9289728.0
807.551,9211904.0
809.729,9302016.0
809.530,9199616.0
813.329,9195520.0
818.644,9175040.0
818.741,9302016.0
814.955,9314304.0
941.712,9302016.0
954.315,9338880.0
823.087,9318400.0
823.953,9289728.0
807.939,9314304.0
816.561,9211904.0
945.844,9183232.0
958.371,9338880.0
941.875,9183232.0
936.864,9269248.0
933.750,9408512.0
934.745,9302016.0
813.731,9289728.0
812.245,9195520.0
809.544,9396224.0
815.155,9289728.0
807.095,9187328.0
812.356,9314304.0
818.835,9302016.0
816.474,9175040.0
811.456,9281536.0
806.671,9175040.0
808.980,9396224.0
811.731,9183232.0
808.593,9388032.0
807.656,9183232.0
810.887,9388032.0
807.604,9396224.0
936.262,9175040.0
939.518,9175040.0
936.742,9388032.0
933.575,9302016.0
934.400,9302016.0
933.548,9338880.0
936.869,9404416.0
