Time(ms),Memory(Bytes)
0.215,6377472.0
0.227,6987776.0
0.216,6574080.0
0.214,6889472.0
0.217,6656000.0
0.215,6643712.0
0.213,6565888.0
0.256,6574080.0
0.212,6352896.0
0.211,6721536.0
0.211,6836224.0
0.209,6569984.0
0.213,6828032.0
0.252,6901760.0
0.214,6631424.0
0.219,6979584.0
0.210,6746112.0
0.213,6885376.0
0.223,6889472.0
0.217,6574080.0
0.223,6619136.0
0.260,6742016.0
0.213,6909952.0
0.212,6836224.0
0.218,7028736.0
0.210,6995968.0
0.211,6991872.0
0.210,6844416.0
0.213,6762496.0
0.214,7041024.0
0.220,7032832.0
0.210,6651904.0
0.215,6905856.0
0.208,6905856.0
0.210,6713344.0
0.262,6709248.0
0.213,6643712.0
0.215,6770688.0
0.240,6348800.0
0.214,6615040.0
0.211,6619136.0
0.238,6578176.0
0.215,6725632.0
0.211,6987776.0
0.212,6897664.0
0.212,6656000.0
0.209,6438912.0
0.221,6369280.0
0.211,6901760.0
0.283,6914048.0
0.224,6762496.0
0.220,6369280.0
0.211,6692864.0
0.219,6905856.0
0.211,6877184.0
0.300,6664192.0
0.213,6664192.0
0.210,6746112.0
0.213,7036928.0
0.209,6643712.0
0.208,7028736.0
0.218,6983680.0
0.276,6713344.0
0.211,6717440.0
0.220,7012352.0
0.212,6922240.0
0.219,6758400.0
0.210,6926336.0
0.210,6901760.0
0.209,6897664.0
0.261,6909952.0
0.219,6991872.0
0.262,6909952.0
0.216,6926336.0
0.220,6574080.0
0.415,6758400.0
0.212,6578176.0
0.214,6983680.0
0.213,6922240.0
0.224,6844416.0
0.212,6664192.0
0.212,7028736.0
0.219,6893568.0
0.211,6979584.0
0.213,6901760.0
0.208,6885376.0
0.207,6893568.0
0.209,7041024.0
0.209,7012352.0
0.210,6926336.0
0.213,6725632.0
0.217,7028736.0
0.211,6840320.0
0.215,6901760.0
0.215,6828032.0
0.214,6840320.0
0.253,6565888.0
0.212,6938624.0
0.210,6897664.0
0.217,6639616.0
