Time(ms),Memory(Bytes)
33.589,7450624.0
33.884,7303168.0
157.781,7450624.0
34.178,7331840.0
34.293,7479296.0
157.866,7340032.0
33.978,7479296.0
34.039,7458816.0
158.188,7307264.0
33.694,7393280.0
34.833,7471104.0
159.360,7385088.0
33.958,7446528.0
33.697,7442432.0
159.745,7487488.0
34.362,7393280.0
34.730,7553024.0
159.483,7446528.0
34.061,7479296.0
34.837,7340032.0
159.055,7479296.0
34.100,7290880.0
34.278,7364608.0
34.137,7446528.0
33.789,7450624.0
33.813,7282688.0
33.598,7446528.0
33.699,7434240.0
35.309,7487488.0
34.160,7475200.0
159.077,7471104.0
33.718,7458816.0
33.946,7393280.0
173.318,7876608.0
34.643,7393280.0
33.706,7380992.0
158.678,7274496.0
34.251,7307264.0
34.694,7462912.0
158.521,7471104.0
33.667,7479296.0
33.862,7294976.0
158.357,7380992.0
33.925,7372800.0
35.488,7344128.0
158.076,7471104.0
34.906,7364608.0
33.867,7487488.0
158.981,7286784.0
34.061,7458816.0
33.606,7372800.0
161.187,7393280.0
34.986,7446528.0
33.824,7471104.0
157.718,7368704.0
33.578,7340032.0
33.576,7303168.0
157.524,7303168.0
33.510,7458816.0
34.116,7290880.0
34.943,7290880.0
33.756,7372800.0
34.170,7479296.0
33.798,7380992.0
158.889,7487488.0
33.633,7393280.0
34.093,7438336.0
157.908,7364608.0
33.693,7331840.0
35.893,7319552.0
156.764,7372800.0
34.193,7278592.0
34.536,7471104.0
159.445,7331840.0
34.855,7278592.0
33.944,7286784.0
159.081,7307264.0
33.709,7471104.0
35.300,7372800.0
33.981,7380992.0
159.865,7430144.0
34.073,7458816.0
33.817,7458816.0
157.860,7340032.0
34.070,7368704.0
36.656,7274496.0
158.632,7364608.0
34.000,7487488.0
39.714,7380992.0
156.832,7266304.0
34.243,7487488.0
35.059,7446528.0
35.823,7430144.0
159.573,7286784.0
34.047,7430144.0
34.529,7475200.0
158.566,7286784.0
34.291,7372800.0
34.908,7434240.0
159.041,7360512.0
