Time(ms),Memory(Bytes)
916.233,9224192.0
915.652,9326592.0
920.492,9138176.0
921.038,9203712.0
918.785,9334784.0
920.158,9138176.0
925.928,9166848.0
947.144,9138176.0
928.558,9142272.0
916.515,9326592.0
918.133,9228288.0
918.705,9351168.0
795.060,9195520.0
791.074,9351168.0
786.739,9338880.0
788.364,9207808.0
789.013,9342976.0
790.901,9228288.0
797.516,9244672.0
795.788,9207808.0
915.221,9138176.0
919.938,9322496.0
918.691,9203712.0
914.704,9142272.0
917.714,9228288.0
790.674,9265152.0
791.699,9334784.0
790.850,9138176.0
793.150,9224192.0
794.337,9297920.0
788.230,9351168.0
798.175,9195520.0
789.740,9334784.0
798.085,9166848.0
798.850,9142272.0
805.570,9097216.0
791.213,9359360.0
794.029,9334784.0
791.644,9207808.0
792.283,9158656.0
790.891,9224192.0
919.795,9322496.0
797.957,9293824.0
796.510,9199616.0
792.314,9236480.0
792.803,9355264.0
790.368,9203712.0
792.520,9261056.0
796.468,9154560.0
796.010,9293824.0
790.686,9326592.0
792.279,9138176.0
790.590,9342976.0
914.928,9322496.0
919.419,9326592.0
924.767,9142272.0
919.629,9170944.0
929.082,9150464.0
920.717,9314304.0
788.017,9224192.0
791.628,9261056.0
802.856,9310208.0
805.074,9166848.0
787.364,9203712.0
790.693,9334784.0
791.248,9195520.0
788.788,9342976.0
791.353,9256960.0
789.436,9293824.0
789.265,9236480.0
790.059,9322496.0
792.223,9228288.0
793.568,9203712.0
786.701,9322496.0
916.748,9203712.0
919.290,9293824.0
958.129,9195520.0
796.813,9297920.0
916.915,9138176.0
916.361,9342976.0
919.560,9355264.0
924.174,9170944.0
918.055,9240576.0
916.631,9150464.0
925.979,9351168.0
917.596,9244672.0
921.557,9244672.0
919.001,9146368.0
797.637,9244672.0
794.817,9236480.0
789.801,9302016.0
793.990,9224192.0
797.490,9150464.0
802.413,9203712.0
793.210,9293824.0
792.356,9142272.0
792.899,9248768.0
790.593,9183232.0
796.476,9183232.0
792.903,9334784.0
