Time(ms),Memory(Bytes)
0.331,6885376.0
0.337,6922240.0
0.333,6946816.0
0.335,6922240.0
0.345,6991872.0
0.341,6979584.0
0.344,6983680.0
0.346,6922240.0
0.361,6922240.0
0.348,6942720.0
0.373,6979584.0
0.331,6836224.0
0.329,6836224.0
0.336,6979584.0
0.381,6914048.0
0.337,6901760.0
0.342,6844416.0
0.330,6934528.0
0.337,6901760.0
0.432,6991872.0
0.326,6987776.0
0.342,6909952.0
0.331,6889472.0
0.381,6922240.0
0.352,6963200.0
0.342,6922240.0
0.385,6991872.0
0.349,6901760.0
0.372,6983680.0
0.342,6938624.0
0.369,6987776.0
0.398,6905856.0
0.341,6934528.0
0.336,7028736.0
0.341,6971392.0
0.328,6983680.0
0.369,6901760.0
0.353,6991872.0
0.344,6938624.0
0.350,6885376.0
0.335,6889472.0
0.379,6897664.0
0.351,6889472.0
0.581,6889472.0
0.331,7036928.0
0.335,6922240.0
0.401,6897664.0
0.385,7016448.0
0.359,7028736.0
0.358,6991872.0
0.352,6840320.0
0.326,6909952.0
0.343,6889472.0
0.331,7028736.0
0.357,7041024.0
0.336,7041024.0
0.355,6836224.0
0.331,6909952.0
0.358,6885376.0
0.341,6926336.0
0.340,6877184.0
0.333,7041024.0
0.337,7016448.0
0.383,7028736.0
0.342,6901760.0
0.354,6991872.0
0.339,6893568.0
0.353,6983680.0
0.373,6889472.0
0.395,6987776.0
0.342,6987776.0
0.329,6905856.0
0.339,6844416.0
0.350,6926336.0
0.355,6889472.0
0.355,6926336.0
0.362,7041024.0
0.367,6995968.0
0.350,6901760.0
0.385,6914048.0
0.367,6979584.0
0.364,6914048.0
0.401,6922240.0
0.349,7016448.0
0.335,6995968.0
0.330,6840320.0
0.341,6914048.0
0.333,6938624.0
0.355,6905856.0
0.329,7041024.0
0.359,6922240.0
0.330,6922240.0
0.326,7036928.0
0.338,6942720.0
0.424,7036928.0
0.337,6901760.0
0.370,6926336.0
0.331,7012352.0
0.362,6983680.0
0.331,6922240.0
