Time(ms),Memory(Bytes)
3.378,6836224.0
3.298,6914048.0
3.353,7032832.0
3.347,6979584.0
3.359,6893568.0
3.374,6893568.0
3.290,6995968.0
128.583,7041024.0
3.485,6823936.0
3.350,6889472.0
3.687,6926336.0
3.372,6995968.0
3.373,7041024.0
3.425,7032832.0
3.406,6979584.0
3.887,6901760.0
3.733,6885376.0
3.385,6901760.0
3.363,6893568.0
3.324,6889472.0
3.525,6885376.0
3.349,7036928.0
3.535,6909952.0
3.389,6922240.0
4.082,6914048.0
3.365,6844416.0
3.407,6889472.0
3.494,6938624.0
3.353,6922240.0
3.525,6983680.0
3.350,6991872.0
3.326,6934528.0
3.460,6901760.0
3.406,7028736.0
3.456,6897664.0
3.395,7041024.0
128.295,6938624.0
3.579,7032832.0
3.342,6844416.0
3.347,7041024.0
3.540,7811072.0
3.374,6901760.0
3.389,7041024.0
127.735,6905856.0
3.521,7016448.0
128.550,7041024.0
3.459,6914048.0
3.446,6905856.0
3.287,6836224.0
3.305,6897664.0
3.409,7041024.0
3.333,6983680.0
3.310,6922240.0
3.342,6934528.0
3.315,6889472.0
3.396,6934528.0
3.372,6901760.0
4.120,6889472.0
3.319,6922240.0
3.338,7036928.0
3.370,6938624.0
3.423,7036928.0
3.391,6889472.0
3.363,7041024.0
3.492,6905856.0
3.462,7036928.0
3.402,6926336.0
3.409,6893568.0
3.628,6909952.0
3.525,6983680.0
3.327,6885376.0
3.322,7032832.0
3.389,6995968.0
3.388,6983680.0
3.831,6909952.0
3.333,6979584.0
4.004,6893568.0
3.346,6938624.0
3.395,6889472.0
3.301,6975488.0
3.359,6995968.0
3.706,7041024.0
3.510,6905856.0
3.328,6893568.0
3.371,6983680.0
3.862,6893568.0
3.317,6877184.0
128.713,7041024.0
3.381,6885376.0
3.333,6991872.0
3.369,6926336.0
3.462,7036928.0
3.339,6844416.0
3.370,6983680.0
3.411,6934528.0
3.490,6889472.0
3.296,6922240.0
3.302,6901760.0
3.313,6897664.0
3.371,7012352.0
