Time(ms),Memory(Bytes)
26.273,8261632.0
26.455,8192000.0
26.198,8192000.0
152.182,8232960.0
26.451,8290304.0
26.868,8200192.0
26.602,8343552.0
26.248,8273920.0
151.685,8261632.0
26.183,8347648.0
26.675,8265728.0
26.128,8261632.0
26.464,8200192.0
151.396,8237056.0
26.638,8359936.0
26.383,8232960.0
26.614,8294400.0
26.435,8187904.0
150.944,8368128.0
26.541,8237056.0
26.539,8376320.0
26.509,8343552.0
26.573,8200192.0
151.288,8347648.0
26.291,8261632.0
26.720,8253440.0
26.538,8192000.0
26.303,8376320.0
150.893,8245248.0
26.428,8273920.0
26.359,8359936.0
26.634,8368128.0
26.638,8273920.0
152.420,8273920.0
26.708,8200192.0
26.331,8257536.0
26.416,8323072.0
26.591,8187904.0
150.884,8261632.0
26.458,8175616.0
26.263,8261632.0
26.232,8364032.0
26.513,8245248.0
150.841,8237056.0
26.477,8294400.0
27.039,8380416.0
26.336,8232960.0
26.214,8368128.0
149.857,8372224.0
26.570,8175616.0
26.288,8257536.0
26.222,8278016.0
26.229,8368128.0
151.321,8228864.0
26.557,8175616.0
26.440,8368128.0
26.234,8261632.0
26.328,8273920.0
151.012,8347648.0
26.374,8318976.0
26.189,8257536.0
150.467,8269824.0
26.763,8273920.0
26.659,8347648.0
26.780,8273920.0
26.433,8200192.0
151.023,8265728.0
26.221,8257536.0
26.710,8376320.0
26.495,8359936.0
26.359,8278016.0
151.923,8261632.0
26.287,8347648.0
26.391,8343552.0
151.289,8323072.0
26.285,8187904.0
151.643,8273920.0
26.341,8175616.0
26.316,8200192.0
151.064,8323072.0
26.764,8204288.0
150.735,8290304.0
26.318,8241152.0
26.610,8364032.0
26.522,8241152.0
27.148,8220672.0
151.221,8343552.0
26.207,8359936.0
26.318,8273920.0
26.523,8245248.0
26.696,8175616.0
150.010,8187904.0
26.329,8368128.0
26.380,8261632.0
26.924,8372224.0
26.358,8364032.0
151.350,8232960.0
26.392,8359936.0
26.389,8232960.0
26.054,8261632.0
