Time(ms),Memory(Bytes)
668.042,15675392.0
543.580,15663104.0
544.878,15474688.0
544.171,15556608.0
665.355,15523840.0
667.015,15560704.0
541.515,15474688.0
541.520,15536128.0
539.518,15646720.0
666.516,15540224.0
541.511,15663104.0
544.163,15572992.0
544.692,15642624.0
544.610,15667200.0
712.184,15540224.0
542.964,15675392.0
543.398,15663104.0
668.786,15499264.0
668.268,15572992.0
668.003,15646720.0
542.803,15474688.0
540.506,15572992.0
541.970,15626240.0
671.227,15659008.0
670.608,15474688.0
667.879,15622144.0
542.911,15536128.0
544.900,15536128.0
545.146,15622144.0
669.478,15675392.0
669.167,15675392.0
543.501,15622144.0
542.336,15626240.0
545.215,15589376.0
671.238,15491072.0
672.468,15650816.0
543.725,15474688.0
543.540,15572992.0
544.631,15593472.0
670.333,15593472.0
669.983,15532032.0
543.300,15622144.0
543.987,15663104.0
543.925,15659008.0
543.034,15474688.0
667.493,15491072.0
542.360,15568896.0
542.456,15577088.0
545.258,15646720.0
545.532,15499264.0
669.764,15671296.0
670.381,15667200.0
670.717,15503360.0
542.333,15491072.0
548.054,15532032.0
547.400,15650816.0
544.179,15519744.0
543.540,15577088.0
542.069,15593472.0
667.464,15626240.0
667.558,15474688.0
545.792,15564800.0
542.247,15589376.0
540.297,15659008.0
667.951,15478784.0
540.537,15515648.0
544.468,15577088.0
543.767,15536128.0
546.154,15491072.0
543.697,15474688.0
669.170,15646720.0
668.759,15650816.0
544.552,15593472.0
543.880,15577088.0
543.267,15556608.0
670.281,15650816.0
670.423,15486976.0
544.429,15663104.0
545.033,15646720.0
547.723,15646720.0
544.127,15646720.0
668.648,15495168.0
668.752,15474688.0
670.675,15675392.0
545.610,15486976.0
543.911,15499264.0
542.597,15622144.0
543.718,15532032.0
670.306,15593472.0
669.420,15626240.0
543.798,15671296.0
542.023,15544320.0
544.644,15478784.0
543.699,15462400.0
669.101,15667200.0
671.117,15622144.0
544.103,15532032.0
667.869,15556608.0
549.096,15491072.0
542.440,15626240.0
