Time(ms),Memory(Bytes)
0.213,6856704.0
0.211,6914048.0
0.212,6823936.0
0.208,6901760.0
0.199,7045120.0
0.199,6787072.0
0.207,6930432.0
0.200,6995968.0
0.216,6950912.0
0.199,6680576.0
0.200,6852608.0
0.198,6672384.0
0.198,6848512.0
0.206,7032832.0
0.200,6922240.0
0.204,6950912.0
0.210,6995968.0
0.205,7000064.0
0.206,6938624.0
0.200,7032832.0
0.206,6918144.0
0.198,6852608.0
0.198,6914048.0
0.198,6856704.0
0.199,6938624.0
0.199,6905856.0
0.200,7008256.0
0.208,7045120.0
0.200,7004160.0
0.230,6897664.0
0.235,6901760.0
0.201,7012352.0
0.199,7049216.0
0.201,6938624.0
0.198,6955008.0
0.224,7032832.0
0.200,7049216.0
0.199,7000064.0
0.196,6918144.0
0.201,7004160.0
0.200,6914048.0
0.202,6901760.0
0.198,7032832.0
0.201,6918144.0
0.200,6848512.0
0.200,6848512.0
0.200,6942720.0
0.206,7049216.0
0.208,6860800.0
0.199,6852608.0
0.200,6950912.0
0.205,7000064.0
0.201,6950912.0
0.224,6848512.0
0.217,6901760.0
0.200,7057408.0
0.201,6942720.0
0.200,6901760.0
0.199,6955008.0
0.226,6901760.0
0.215,7045120.0
0.205,7032832.0
0.214,6901760.0
0.208,7045120.0
0.234,6914048.0
0.220,7053312.0
0.200,7028736.0
0.219,6918144.0
0.202,6897664.0
0.201,6950912.0
0.200,7045120.0
0.206,6995968.0
0.200,6684672.0
0.199,6942720.0
0.211,7045120.0
0.201,6840320.0
0.201,6942720.0
0.205,6918144.0
0.234,6930432.0
0.204,6860800.0
0.201,7049216.0
0.202,6852608.0
0.199,6995968.0
0.201,6897664.0
0.200,6938624.0
0.202,7028736.0
0.199,7028736.0
0.200,6868992.0
0.219,6926336.0
0.199,6905856.0
0.210,6926336.0
0.203,6914048.0
0.201,6938624.0
0.198,6463488.0
0.200,7053312.0
0.201,6938624.0
0.206,6942720.0
0.200,7000064.0
0.200,7004160.0
0.200,6918144.0
