Time(ms),Memory(Bytes)
750.817,15581184.0
619.141,15601664.0
746.913,15486976.0
747.078,15482880.0
745.049,15572992.0
745.776,15544320.0
745.539,15486976.0
747.211,15499264.0
747.767,15572992.0
746.918,15581184.0
745.541,15671296.0
748.643,15626240.0
749.343,15478784.0
750.502,15572992.0
750.538,15482880.0
747.028,15622144.0
748.841,15667200.0
747.194,15589376.0
745.660,15622144.0
745.872,15577088.0
747.578,15495168.0
621.898,15540224.0
744.809,15503360.0
744.997,15503360.0
747.150,15466496.0
747.032,15626240.0
771.053,15589376.0
750.211,15577088.0
749.019,15675392.0
748.461,15581184.0
748.213,15675392.0
745.158,15679488.0
746.833,15499264.0
745.912,15622144.0
743.775,15482880.0
745.617,15597568.0
747.755,15679488.0
750.358,15761408.0
748.227,15556608.0
747.310,15470592.0
748.385,15474688.0
746.863,15499264.0
746.905,15597568.0
747.631,15585280.0
745.927,15581184.0
755.660,15499264.0
753.101,15601664.0
748.415,15585280.0
750.420,15499264.0
750.892,15478784.0
747.945,15556608.0
748.085,15675392.0
750.184,15667200.0
747.130,15577088.0
749.253,15581184.0
747.872,15572992.0
618.062,15433728.0
745.006,15560704.0
749.458,15572992.0
748.738,15486976.0
749.185,15482880.0
749.694,15589376.0
747.904,15572992.0
752.665,15491072.0
747.263,15499264.0
745.824,15491072.0
746.390,15626240.0
745.904,15560704.0
745.645,15503360.0
746.657,15495168.0
781.330,15589376.0
745.570,15568896.0
744.932,15499264.0
747.934,15585280.0
749.473,15581184.0
748.199,15556608.0
748.100,15499264.0
745.363,15491072.0
746.709,15482880.0
748.749,15671296.0
752.831,15675392.0
747.677,15585280.0
753.542,15523840.0
749.214,15503360.0
744.772,15499264.0
753.356,15593472.0
747.197,15675392.0
746.389,15568896.0
748.277,15478784.0
756.880,15486976.0
753.674,15499264.0
751.901,15585280.0
749.129,15474688.0
749.035,15527936.0
748.419,15560704.0
748.371,15675392.0
751.090,15556608.0
746.686,15556608.0
747.123,15503360.0
749.907,15581184.0
