Time(ms),Memory(Bytes)
44.890,8245248.0
45.941,8200192.0
169.786,8323072.0
170.689,8273920.0
45.460,8298496.0
46.053,8372224.0
171.728,8237056.0
171.152,8327168.0
45.394,8380416.0
46.392,8241152.0
45.816,8343552.0
171.982,8261632.0
45.340,8372224.0
45.669,8257536.0
46.231,8372224.0
170.617,8192000.0
45.290,8347648.0
44.842,8187904.0
46.146,8200192.0
171.349,8257536.0
171.727,8257536.0
46.184,8232960.0
46.394,8261632.0
169.935,8224768.0
172.957,8294400.0
46.118,8327168.0
46.821,8343552.0
46.618,8265728.0
169.360,8327168.0
170.262,8364032.0
45.728,8290304.0
45.585,8294400.0
170.697,8187904.0
173.405,8204288.0
45.291,8359936.0
45.417,8278016.0
45.734,8294400.0
169.862,8368128.0
44.792,8241152.0
45.851,8372224.0
46.089,8269824.0
170.785,8425472.0
171.725,8351744.0
46.028,8204288.0
47.110,8372224.0
46.284,8261632.0
170.942,8372224.0
44.652,8179712.0
44.556,8245248.0
44.900,8261632.0
169.790,8273920.0
45.421,8261632.0
45.335,8359936.0
44.906,8261632.0
170.173,8368128.0
44.519,8245248.0
45.235,8347648.0
44.678,8179712.0
170.234,8183808.0
44.903,8257536.0
45.735,8232960.0
47.030,8200192.0
169.079,8351744.0
170.207,8331264.0
45.754,8245248.0
45.654,8241152.0
170.300,8257536.0
170.742,8241152.0
44.899,8376320.0
45.462,8290304.0
171.459,8294400.0
171.499,8323072.0
46.052,8364032.0
44.547,8265728.0
45.743,8126464.0
170.681,8294400.0
44.698,8290304.0
45.261,8196096.0
45.350,8200192.0
169.910,8257536.0
45.812,8237056.0
44.613,8273920.0
44.744,8323072.0
170.936,8245248.0
45.065,8380416.0
62.895,8241152.0
45.100,8364032.0
45.284,8208384.0
171.559,8245248.0
170.514,8220672.0
45.672,8273920.0
45.178,8347648.0
170.859,8204288.0
170.265,8175616.0
45.444,8257536.0
45.156,8179712.0
169.939,8368128.0
170.368,8327168.0
46.294,8364032.0
45.212,8273920.0
