Time(ms),Memory(Bytes)
26.512,8245248.0
26.614,8175616.0
27.381,8273920.0
150.747,8347648.0
26.335,8204288.0
26.383,8245248.0
26.315,8376320.0
26.579,8278016.0
151.071,8175616.0
26.168,8192000.0
26.374,8294400.0
26.655,8257536.0
27.008,8241152.0
151.163,8175616.0
26.599,8359936.0
26.754,8187904.0
26.237,8220672.0
26.697,8273920.0
152.705,8261632.0
26.343,8245248.0
26.604,8359936.0
27.064,8368128.0
26.486,8347648.0
151.638,8343552.0
26.524,8273920.0
26.687,8364032.0
151.007,8179712.0
26.360,8175616.0
26.788,8232960.0
26.545,8347648.0
26.234,8187904.0
151.041,8265728.0
26.314,8364032.0
26.302,8364032.0
26.366,8269824.0
26.307,8232960.0
152.411,8241152.0
26.360,8192000.0
26.935,8372224.0
26.500,8351744.0
26.538,8347648.0
151.004,8245248.0
26.639,8294400.0
26.456,8261632.0
26.233,8273920.0
27.016,8359936.0
151.767,8343552.0
26.660,8273920.0
26.610,8290304.0
26.264,8368128.0
26.502,8179712.0
151.117,8257536.0
26.277,8347648.0
26.429,8380416.0
26.487,8359936.0
26.577,8290304.0
150.902,8204288.0
26.298,8269824.0
27.380,8364032.0
26.308,8273920.0
26.684,8359936.0
150.920,8359936.0
26.413,8241152.0
26.319,8327168.0
26.565,8241152.0
26.860,8237056.0
150.583,8265728.0
26.257,8278016.0
26.840,8269824.0
26.432,8241152.0
26.216,8257536.0
150.760,8339456.0
26.527,8359936.0
26.380,8368128.0
26.402,8278016.0
26.259,8327168.0
152.628,8323072.0
26.264,8368128.0
26.115,8372224.0
26.412,8323072.0
26.101,8261632.0
150.972,8232960.0
26.897,8273920.0
26.289,8224768.0
26.592,8265728.0
26.596,8327168.0
152.146,8380416.0
26.326,8220672.0
27.066,8343552.0
26.363,8237056.0
26.170,8359936.0
150.433,8273920.0
26.243,8216576.0
26.139,8192000.0
26.945,8323072.0
26.355,8179712.0
150.019,8245248.0
26.267,8261632.0
26.359,8294400.0
26.351,8273920.0
