Time(ms),Memory(Bytes)
668.129,15589376.0
668.653,15642624.0
671.939,15564800.0
542.890,15536128.0
544.174,15486976.0
541.935,15466496.0
669.087,15646720.0
668.188,15671296.0
541.762,15650816.0
541.500,15446016.0
545.543,15663104.0
669.122,15523840.0
668.514,15646720.0
543.876,15622144.0
548.287,15486976.0
546.694,15679488.0
666.692,15589376.0
668.548,15503360.0
667.110,15650816.0
677.652,15474688.0
541.729,15560704.0
545.746,15646720.0
545.309,15622144.0
669.484,15577088.0
669.064,15667200.0
669.684,15589376.0
542.872,15642624.0
543.747,15540224.0
540.988,15626240.0
671.200,15536128.0
669.040,15499264.0
545.662,15503360.0
543.406,15564800.0
542.726,15646720.0
669.065,15679488.0
667.058,15679488.0
543.642,15675392.0
542.990,15646720.0
552.331,15499264.0
541.747,15589376.0
541.268,15671296.0
669.396,15491072.0
668.704,15536128.0
542.701,15544320.0
543.309,15540224.0
542.834,15659008.0
543.420,15560704.0
669.540,15568896.0
541.338,15667200.0
542.261,15532032.0
542.642,15540224.0
666.479,15589376.0
665.047,15646720.0
542.578,15589376.0
541.564,15486976.0
667.202,15671296.0
666.317,15650816.0
543.332,15572992.0
551.584,15478784.0
542.826,15675392.0
541.927,15556608.0
670.522,15659008.0
670.126,15572992.0
544.185,15503360.0
547.152,15679488.0
550.672,15572992.0
547.758,15540224.0
545.538,15663104.0
545.559,15622144.0
669.535,15499264.0
671.405,15478784.0
543.245,15556608.0
543.661,15626240.0
542.766,15577088.0
541.554,15577088.0
667.625,15572992.0
667.837,15593472.0
542.233,15671296.0
541.191,15642624.0
568.937,15577088.0
542.945,15626240.0
668.192,15667200.0
667.497,15540224.0
543.287,15659008.0
544.273,15572992.0
543.912,15626240.0
668.198,15491072.0
672.914,15519744.0
542.635,15560704.0
544.405,15560704.0
542.236,15646720.0
545.137,15560704.0
669.232,15564800.0
666.902,15568896.0
541.850,15499264.0
541.609,15667200.0
542.698,15499264.0
668.639,15474688.0
669.339,15626240.0
668.693,15577088.0
